molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,80.0,nM,7.1,,CHEMBL5700674,9,CHEMBL3108651,CHEMBL5696440,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,80.0,nM,7.1,,CHEMBL5700674,9,CHEMBL3108651,CHEMBL5696440,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,80.0,nM,7.1,,CHEMBL5700674,9,CHEMBL3108651,CHEMBL5696440,7w6l,Q9UBL3
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,80.0,nM,7.1,,CHEMBL5700674,9,CHEMBL3108651,CHEMBL5696440,7w6l,Q9UBL3
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,21198.81,nM,4.67,,CHEMBL5652964,9,CHEMBL3108651,CHEMBL5649169,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Kd,63.0,nM,7.2,,CHEMBL5701353,9,CHEMBL3108651,CHEMBL5696440,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Kd,63.0,nM,7.2,,CHEMBL5701353,9,CHEMBL3108651,CHEMBL5696440,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Kd,63.0,nM,7.2,,CHEMBL5701353,9,CHEMBL3108651,CHEMBL5696440,7w6l,Q9UBL3
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Kd,63.0,nM,7.2,,CHEMBL5701353,9,CHEMBL3108651,CHEMBL5696440,7w6l,Q9UBL3
CHEMBL2204995,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,IC50,100000.0,nM,,,CHEMBL2209112,8,CHEMBL2189113,CHEMBL2202955,7w6l,Q8NEZ4
CHEMBL5187396,Cc1cc(C)c(CNC(=O)c2cc(Br)c3c(c2C)OC(C)(C2CCC(N(C)C)CC2)O3)c(=O)[nH]1,IC50,1.0,10^2 uM,,,CHEMBL5648339,9,CHEMBL2189113,CHEMBL5647694,7w6l,Q8NEZ4
CHEMBL4597193,Cc1cc(C)c(CNC(=O)c2cc(Cl)c3c(c2C)O[C@@](C)([C@H]2CC[C@H](N(C)C)CC2)O3)c(=O)[nH]1,IC50,1.0,10^2 uM,,,CHEMBL5648339,9,CHEMBL2189113,CHEMBL5647694,7w6l,Q8NEZ4
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,70.0,nM,7.16,,CHEMBL5700735,9,CHEMBL3108650,CHEMBL5696440,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,70.0,nM,7.16,,CHEMBL5700735,9,CHEMBL3108650,CHEMBL5696440,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,70.0,nM,7.16,,CHEMBL5700735,9,CHEMBL3108650,CHEMBL5696440,7w6l,Q9UBL3
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,70.0,nM,7.16,,CHEMBL5700735,9,CHEMBL3108650,CHEMBL5696440,7w6l,Q9UBL3
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,10833.02,nM,4.96,,CHEMBL5650938,9,CHEMBL3108650,CHEMBL5649169,7w6l,Q9UBL3
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Kd,60.0,nM,7.22,,CHEMBL5701393,9,CHEMBL3108650,CHEMBL5696440,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Kd,60.0,nM,7.22,,CHEMBL5701393,9,CHEMBL3108650,CHEMBL5696440,7w6l,Q15291
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Kd,60.0,nM,7.22,,CHEMBL5701393,9,CHEMBL3108650,CHEMBL5696440,7w6l,Q9UBL3
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Kd,60.0,nM,7.22,,CHEMBL5701393,9,CHEMBL3108650,CHEMBL5696440,7w6l,Q9UBL3
