molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL7917,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,IC50,1300.0,nM,5.89,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL63469,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl,IC50,11900.0,nM,4.92,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL66409,O=[N+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl,IC50,10000.0,nM,,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL294126,CCOc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCC,IC50,9200.0,nM,5.04,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL63152,CCOc1cc2nc(-c3ccccc3)nc(Nc3cccc(Br)c3)c2cc1OCC,IC50,10000.0,nM,,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL303996,CC(C)Oc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,10000.0,nM,,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL65275,COCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,2900.0,nM,5.54,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL65055,CCOc1cc2ncnc(Nc3ccccc3)c2cc1OCC,IC50,10000.0,nM,,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL307526,CCOc1cc2nc(CN3CCOCC3)nc(Nc3cccc(Br)c3)c2cc1OCC,IC50,10000.0,nM,,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL294769,COc1cc2nc(C)nc(Nc3cccc(Br)c3)c2cc1OC,IC50,4500.0,nM,5.35,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL63244,C#Cc1cccc(Nc2ncnc3cc(OCC)c(OCC)cc23)c1,IC50,2400.0,nM,5.62,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL306005,CCOc1cc2nc(CN(CC)CC)nc(Nc3cccc(Br)c3)c2cc1OCC,IC50,10000.0,nM,,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL63450,CCCCOc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,10000.0,nM,,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
CHEMBL67008,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],IC50,3600.0,nM,5.44,,CHEMBL694959,8,CHEMBL3975,CHEMBL1134043,7wjv,P09467
