molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,841.27,nM,6.08,,CHEMBL5651495,9,CHEMBL6067041,CHEMBL5649169,7wld,O43292
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,841.27,nM,6.08,,CHEMBL5651495,9,CHEMBL6067041,CHEMBL5649169,7wld,Q92643
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,841.27,nM,6.08,,CHEMBL5651495,9,CHEMBL6067041,CHEMBL5649169,7wld,Q969N2
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,841.27,nM,6.08,,CHEMBL5651495,9,CHEMBL6067041,CHEMBL5649169,7wld,Q96S52
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,56525.53,nM,4.25,,CHEMBL5651495,9,CHEMBL6067041,CHEMBL5649169,7wld,O43292
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,56525.53,nM,4.25,,CHEMBL5651495,9,CHEMBL6067041,CHEMBL5649169,7wld,Q92643
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,56525.53,nM,4.25,,CHEMBL5651495,9,CHEMBL6067041,CHEMBL5649169,7wld,Q96S52
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,83.9,nM,7.08,,CHEMBL5652046,9,CHEMBL6067192,CHEMBL5649169,7wld,O43292
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,83.9,nM,7.08,,CHEMBL5652046,9,CHEMBL6067192,CHEMBL5649169,7wld,Q92643
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,83.9,nM,7.08,,CHEMBL5652046,9,CHEMBL6067192,CHEMBL5649169,7wld,Q969N2
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,83.9,nM,7.08,,CHEMBL5652046,9,CHEMBL6067192,CHEMBL5649169,7wld,Q96S52
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,3434.15,nM,5.46,,CHEMBL5652046,9,CHEMBL6067192,CHEMBL5649169,7wld,O43292
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,3434.15,nM,5.46,,CHEMBL5652046,9,CHEMBL6067192,CHEMBL5649169,7wld,Q92643
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,3434.15,nM,5.46,,CHEMBL5652046,9,CHEMBL6067192,CHEMBL5649169,7wld,Q96S52
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,540.39,nM,6.27,,CHEMBL5652049,9,CHEMBL6067339,CHEMBL5649169,7wld,O43292
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,540.39,nM,6.27,,CHEMBL5652049,9,CHEMBL6067339,CHEMBL5649169,7wld,Q92643
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,540.39,nM,6.27,,CHEMBL5652049,9,CHEMBL6067339,CHEMBL5649169,7wld,Q969N2
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,540.39,nM,6.27,,CHEMBL5652049,9,CHEMBL6067339,CHEMBL5649169,7wld,Q96S52
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,254.66,nM,6.59,,CHEMBL5652048,9,CHEMBL6067379,CHEMBL5649169,7wld,O43292
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,254.66,nM,6.59,,CHEMBL5652048,9,CHEMBL6067379,CHEMBL5649169,7wld,Q92643
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,254.66,nM,6.59,,CHEMBL5652048,9,CHEMBL6067379,CHEMBL5649169,7wld,Q969N2
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,254.66,nM,6.59,,CHEMBL5652048,9,CHEMBL6067379,CHEMBL5649169,7wld,Q96S52
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,29.79,nM,7.53,,CHEMBL5652048,9,CHEMBL6067379,CHEMBL5649169,7wld,O43292
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,29.79,nM,7.53,,CHEMBL5652048,9,CHEMBL6067379,CHEMBL5649169,7wld,Q92643
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,29.79,nM,7.53,,CHEMBL5652048,9,CHEMBL6067379,CHEMBL5649169,7wld,Q96S52
