molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL109279,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,370.0,nM,6.43,,CHEMBL811896,9,CHEMBL1947,CHEMBL1135520,7wlx,P10828
CHEMBL109279,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,370.0,nM,6.43,,CHEMBL811896,9,CHEMBL1947,CHEMBL1135520,7wlx,P10828
CHEMBL112087,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,680.0,nM,6.17,,CHEMBL811896,9,CHEMBL1947,CHEMBL1135520,7wlx,P10828
CHEMBL112087,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,680.0,nM,6.17,,CHEMBL811896,9,CHEMBL1947,CHEMBL1135520,7wlx,P10828
CHEMBL112087,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,680.0,nM,6.17,,CHEMBL811896,9,CHEMBL1947,CHEMBL1135520,7wlx,P10828
CHEMBL160883,Cc1oc2ccccc2c1C(=O)c1cc(I)c(OCC(=O)O)c(I)c1,IC50,480.0,nM,6.32,,CHEMBL811895,8,CHEMBL1947,CHEMBL1136014,7wlx,P10828
CHEMBL160703,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC(=O)O)c(I)c1,IC50,4000.0,nM,5.4,,CHEMBL811895,8,CHEMBL1947,CHEMBL1136014,7wlx,P10828
CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IC50,600.0,nM,6.22,,CHEMBL811895,8,CHEMBL1947,CHEMBL1136014,7wlx,P10828
CHEMBL157885,Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1,IC50,5100.0,nM,5.29,,CHEMBL811895,8,CHEMBL1947,CHEMBL1136014,7wlx,P10828
CHEMBL157885,Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1,IC50,5100.0,nM,5.29,,CHEMBL811895,8,CHEMBL1947,CHEMBL1136014,7wlx,P10828
CHEMBL157885,Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1,IC50,5100.0,nM,5.29,,CHEMBL811895,8,CHEMBL1947,CHEMBL1136014,7wlx,P10828
CHEMBL157885,Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1,IC50,5100.0,nM,5.29,,CHEMBL811895,8,CHEMBL1947,CHEMBL1136014,7wlx,P10828
CHEMBL157885,Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1,IC50,5100.0,nM,5.29,,CHEMBL811895,8,CHEMBL1947,CHEMBL1136014,7wlx,P10828
CHEMBL557,N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,IC50,0.26,nM,9.59,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL557,N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,IC50,0.26,nM,9.59,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL557,N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,IC50,0.26,nM,9.59,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL39174,CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)ccc1O,IC50,0.095,nM,10.02,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL39174,CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)ccc1O,IC50,0.095,nM,10.02,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL39174,CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)ccc1O,IC50,0.095,nM,10.02,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL39174,CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)ccc1O,IC50,0.095,nM,10.02,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL291053,O=C(O)CCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,IC50,0.019,nM,10.72,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL291053,O=C(O)CCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,IC50,0.019,nM,10.72,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL291053,O=C(O)CCc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,IC50,0.019,nM,10.72,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL40738,CC(C)c1cc(Oc2c(Cl)cc(C(=O)O)cc2Cl)ccc1O,IC50,21.0,nM,7.68,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL40738,CC(C)c1cc(Oc2c(Cl)cc(C(=O)O)cc2Cl)ccc1O,IC50,21.0,nM,7.68,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL40738,CC(C)c1cc(Oc2c(Cl)cc(C(=O)O)cc2Cl)ccc1O,IC50,21.0,nM,7.68,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL289965,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)ccc1O,IC50,2.1,nM,8.68,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL289965,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)ccc1O,IC50,2.1,nM,8.68,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL289965,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)ccc1O,IC50,2.1,nM,8.68,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41036,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,IC50,1.1,nM,8.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41036,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,IC50,1.1,nM,8.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41036,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,IC50,1.1,nM,8.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41036,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,IC50,1.1,nM,8.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41036,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,IC50,1.1,nM,8.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41036,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,IC50,1.1,nM,8.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41036,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,IC50,1.1,nM,8.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41036,CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,IC50,1.1,nM,8.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41632,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,IC50,0.048,nM,10.32,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41632,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,IC50,0.048,nM,10.32,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41632,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,IC50,0.048,nM,10.32,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL289343,CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)ccc1O,IC50,0.025,nM,10.6,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL289343,CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)ccc1O,IC50,0.025,nM,10.6,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL289343,CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)ccc1O,IC50,0.025,nM,10.6,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL418432,CC(C)c1cc(Oc2c(Cl)cc(CCC(=O)O)cc2Cl)ccc1O,IC50,0.15,nM,9.82,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL418432,CC(C)c1cc(Oc2c(Cl)cc(CCC(=O)O)cc2Cl)ccc1O,IC50,0.15,nM,9.82,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL418432,CC(C)c1cc(Oc2c(Cl)cc(CCC(=O)O)cc2Cl)ccc1O,IC50,0.15,nM,9.82,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41314,CC(C)c1cc(Oc2c(I)cc(C[C@@H](N)C(=O)O)cc2I)ccc1O,IC50,0.11,nM,9.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL41314,CC(C)c1cc(Oc2c(I)cc(C[C@@H](N)C(=O)O)cc2I)ccc1O,IC50,0.11,nM,9.96,,CHEMBL814601,9,CHEMBL1947,CHEMBL1136772,7wlx,P10828
CHEMBL120799,Fc1ccc(-c2c(-c3ccccn3)nn3c2CCC3)cc1,IC50,1320.0,nM,5.88,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL120718,Cc1cccc(-c2nn3c(c2-c2ccc(F)c(F)c2)CCC3)n1,IC50,343.0,nM,6.46,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL325405,Fc1ccc(-c2nn3c(c2-c2ccnc4ccccc24)CCC3)nc1,IC50,151.0,nM,6.82,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL118339,Cc1ccc(-c2c(-c3cccc(C)n3)nn3c2CCC3)cc1,IC50,4000.0,nM,5.4,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL121790,Cc1cccc(-c2nn3c(c2-c2ccc(F)cc2)CCC3)n1,IC50,175.0,nM,6.76,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL332344,Cc1cccc(-c2nn3c(c2-c2ccnc4cc(Cl)ccc24)CCC3)n1,IC50,48.0,nM,7.32,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL121795,c1ccc(-c2nn3c(c2-c2ccnc4ccccc24)CCC3)nc1,IC50,104.0,nM,6.98,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL119976,Cc1cccc(-c2nn3c(c2-c2ccnc4ccccc24)CCC3)n1,IC50,78.0,nM,7.11,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL119936,CCSc1ccc2c(-c3c(-c4ccccn4)nn4c3CCC4)ccnc2c1,IC50,110.0,nM,6.96,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL120907,COc1ccc(-c2c(-c3ccccn3)nn3c2CCC3)cc1,IC50,646.0,nM,6.19,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL120211,COc1ccc(-c2c(-c3cccc(C)n3)nn3c2CCC3)cc1,IC50,121.0,nM,6.92,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL121554,Clc1ccc2c(-c3c(-c4ccccn4)nn4c3CCC4)ccnc2c1,IC50,54.0,nM,7.27,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL331703,CCS(=O)(=O)c1ccc2c(-c3c(-c4ccccn4)nn4c3CCC4)ccnc2c1,IC50,9290.0,nM,5.03,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL120245,CC(C)c1cccc(-c2nn3c(c2-c2ccnc4ccccc24)CCC3)n1,IC50,1300.0,nM,5.89,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL120587,CCOc1ccc2c(-c3c(-c4cccc(C)n4)nn4c3CCC4)ccnc2c1,IC50,88.0,nM,7.06,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL333798,Fc1ccc(-c2c(-c3cccc(C(F)(F)F)n3)nn3c2CCC3)cc1,IC50,877.0,nM,6.06,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL122414,OCc1cccc(-c2nn3c(c2-c2ccc(F)cc2)CCC3)n1,IC50,2620.0,nM,5.58,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL122583,CCc1cccc(-c2nn3c(c2-c2ccnc4ccccc24)CCC3)n1,IC50,71.0,nM,7.15,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL122524,Cc1cccc(-c2nn3c(c2-c2ccc(S(C)(=O)=O)cc2)CCC3)n1,IC50,19500.0,nM,4.71,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL330814,Cc1cccc(-c2nn3c(c2-c2ccc(O)cc2)CCC3)n1,IC50,47.0,nM,7.33,,CHEMBL811488,8,CHEMBL1947,CHEMBL1147482,7wlx,P10828
CHEMBL193198,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,IC50,910.0,nM,6.04,,CHEMBL832459,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL193198,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,IC50,910.0,nM,6.04,,CHEMBL832459,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL193198,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,IC50,910.0,nM,6.04,,CHEMBL832459,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL193198,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,IC50,910.0,nM,6.04,,CHEMBL832459,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL193198,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,IC50,4500.0,nM,5.35,,CHEMBL827873,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL193198,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,IC50,4500.0,nM,5.35,,CHEMBL827873,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL193198,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,IC50,4500.0,nM,5.35,,CHEMBL827873,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL193198,CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,IC50,4500.0,nM,5.35,,CHEMBL827873,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL425557,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(CCN(CC)CC)c(I)c1,IC50,600.0,nM,6.22,,CHEMBL832459,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL425557,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(CCN(CC)CC)c(I)c1,IC50,600.0,nM,6.22,,CHEMBL832459,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL425557,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(CCN(CC)CC)c(I)c1,IC50,600.0,nM,6.22,,CHEMBL832459,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL425557,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(CCN(CC)CC)c(I)c1,IC50,10000.0,nM,,,CHEMBL827873,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL425557,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(CCN(CC)CC)c(I)c1,IC50,10000.0,nM,,,CHEMBL827873,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
CHEMBL425557,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(CCN(CC)CC)c(I)c1,IC50,10000.0,nM,,,CHEMBL827873,9,CHEMBL1947,CHEMBL1143623,7wlx,P10828
