molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,IC50,0.89,nM,9.05,,CHEMBL799873,8,CHEMBL2055,CHEMBL1133435,7wqq,P10276
