molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,124000000000.0,nM,,,CHEMBL911117,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,124000000000.0,nM,,,CHEMBL911117,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,124000000000.0,nM,,,CHEMBL911117,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218703,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,IC50,70000000000.0,nM,,,CHEMBL911119,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218703,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,IC50,70000000000.0,nM,,,CHEMBL911119,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,82000000000.0,nM,,,CHEMBL911119,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,82000000000.0,nM,,,CHEMBL911119,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,82000000000.0,nM,,,CHEMBL911119,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218703,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,IC50,32000000000.0,nM,,,CHEMBL911120,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218703,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,IC50,32000000000.0,nM,,,CHEMBL911120,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,5400000000.0,nM,,,CHEMBL911120,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,5400000000.0,nM,,,CHEMBL911120,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,IC50,5400000000.0,nM,,,CHEMBL911120,8,CHEMBL3588732,CHEMBL1139229,7wyf,Q08210
CHEMBL475813,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,IC50,44000.0,nM,4.36,,CHEMBL965255,8,CHEMBL3588732,CHEMBL1150779,7wyf,Q08210
CHEMBL475813,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,IC50,44000.0,nM,4.36,,CHEMBL965255,8,CHEMBL3588732,CHEMBL1150779,7wyf,Q08210
CHEMBL475813,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,IC50,6100.0,nM,5.21,,CHEMBL965256,8,CHEMBL3588732,CHEMBL1150779,7wyf,Q08210
CHEMBL475813,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,IC50,6100.0,nM,5.21,,CHEMBL965256,8,CHEMBL3588732,CHEMBL1150779,7wyf,Q08210
CHEMBL1784593,Cc1cc(NC2CCc3ccccc3C2)n2ncnc2n1,IC50,500.0,nM,6.3,318863.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL2172226,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ccnc2n1,IC50,77.0,nM,7.11,318864.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1784589,Cc1cc(NC2Cc3ccccc3C2)n2ncnc2n1,IC50,500.0,nM,6.3,318865.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL598369,Cc1cc(Nc2ccc(Cl)cc2)n2nc(C(F)(F)F)nc2n1,IC50,90.0,nM,7.05,318866.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL2028042,Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,IC50,220.0,nM,6.66,318867.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL3689082,CC(C)c1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1,IC50,250.0,nM,6.6,318868.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1738786,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,IC50,38.0,nM,7.42,318869.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1784714,CCc1c(C)nc2ncnn2c1Nc1ccc(C(C)C)cc1,IC50,1660.0,nM,5.78,318870.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1784715,CCc1c(C)nc2ncnn2c1Nc1ccc(OC(F)(F)F)cc1,IC50,3170.0,nM,5.5,318871.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL4115743,,IC50,30.0,nM,7.52,318872.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1784580,Cc1cc(Nc2ccc3sccc3c2)n2ncnc2n1,IC50,90.0,nM,7.05,318873.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL546168,Cc1cc(Nc2ccc(C)c(Cl)c2)n2nc(C(F)(F)F)nc2n1,IC50,130.0,nM,6.89,318874.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1784577,Cc1cc(Nc2cc(F)c(C(F)(F)F)c(F)c2)n2ncnc2n1,IC50,190.0,nM,6.72,318875.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1956290,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C(F)(F)F)nc2n1,IC50,35.0,nM,7.46,318876.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL3689083,Cc1cc(Nc2ccc3c(c2)CCCC3)n2nc(C(F)(F)F)nc2n1,IC50,43.0,nM,7.37,318877.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1956468,COc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,IC50,500.0,nM,6.3,318878.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL3689084,Cc1cc(NC2Cc3cc(Cl)c(Cl)cc3C2)n2ncnc2n1,IC50,1200.0,nM,5.92,318879.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL3689085,Cc1cc(Nc2ccc(C(F)(F)F)c(F)c2)n2ccnc2n1,IC50,140.0,nM,6.85,318880.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL4115728,,IC50,200.0,nM,6.7,318881.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
CHEMBL1784578,Cc1cc(Nc2ccc3c(c2)CCCC3)n2ncnc2n1,IC50,100.0,nM,7.0,318882.0,CHEMBL3705388,8,CHEMBL3588732,CHEMBL3639309,7wyf,Q08210
