molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL175806,C[C@@H]1C[C@@]2(N=C(N)CS2)[C@]2(O)O[C@@H]3C[C@@]4(C=O)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54O)C[C@H]3O[C@@H]2O1,IC50,68.0,nM,7.17,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL175806,C[C@@H]1C[C@@]2(N=C(N)CS2)[C@]2(O)O[C@@H]3C[C@@]4(C=O)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54O)C[C@H]3O[C@@H]2O1,IC50,68.0,nM,7.17,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL175806,C[C@@H]1C[C@@]2(N=C(N)CS2)[C@]2(O)O[C@@H]3C[C@@]4(C=O)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54O)C[C@H]3O[C@@H]2O1,IC50,68.0,nM,7.17,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL175806,C[C@@H]1C[C@@]2(N=C(N)CS2)[C@]2(O)O[C@@H]3C[C@@]4(C=O)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54O)C[C@H]3O[C@@H]2O1,IC50,68.0,nM,7.17,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL175981,CC(=O)OC[C@]12C[C@H]3OC4(O)[C@@H](O[C@H](C)C[C@@]45N=C(N)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12CO,IC50,12105.0,nM,4.92,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL360685,C[C@@H]1C[C@@]2(N=C(N)CS2)C2(O)O[C@@H]3C[C@@]4(COC(=O)c5ccccc5)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO)C[C@H]3O[C@@H]2O1,IC50,50000.0,nM,,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL262795,C[C@@H]1C[C@@]2(N=C(N)CS2)C2(O[Si](C)(C)C)O[C@@H]3C[C@@]4(CO[Si](C)(C)C)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO[Si](C)(C)C)C[C@H]3O[C@@H]2O1,IC50,50000.0,nM,,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL366906,C[C@@H]1C[C@@]2(N=C(N)CS2)C2(O[Si](C)(C)C)O[C@@H]3C[C@@]4(CO[Si](C)(C)C)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO)C[C@H]3O[C@@H]2O1,IC50,4076.0,nM,5.39,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL426228,CC(=O)OC[C@]12C[C@H]3OC4(O[Si](C)(C)C)[C@@H](O[C@H](C)C[C@@]45N=C(N)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12CO[Si](C)(C)C,IC50,50000.0,nM,,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL427124,C[C@@H]1C[C@@]2(N=C(N)CS2)C2(O[Si](C)(C)C)O[C@@H]3C[C@@]4(C=O)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO[Si](C)(C)C)C[C@H]3O[C@@H]2O1,IC50,50000.0,nM,4.3,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL369515,C[C@@H]1C[C@@]2(N=C(N)CS2)C2(O[Si](C)(C)C)O[C@@H]3C[C@@]4(CO)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO[Si](C)(C)C)C[C@H]3O[C@@H]2O1,IC50,1888.0,nM,5.72,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
CHEMBL178993,C[C@@H]1C[C@@]2(NC(=O)CS2)C2(O)O[C@@H]3C[C@@]4(CO)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO)C[C@H]3O[C@@H]2O1,IC50,75.0,nM,7.12,,CHEMBL827871,9,CHEMBL4131,CHEMBL1144441,7wyt,P05024
