molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1627453,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCI)[C@@H]2O,IC50,420.0,nM,6.38,,CHEMBL615175,8,CHEMBL3181,CHEMBL1127765,7x3z,P14061
CHEMBL1627450,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCBr)[C@@H]2O,IC50,460.0,nM,6.34,,CHEMBL615175,8,CHEMBL3181,CHEMBL1127765,7x3z,P14061
CHEMBL1627450,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCBr)[C@@H]2O,IC50,460.0,nM,6.34,,CHEMBL615175,8,CHEMBL3181,CHEMBL1127765,7x3z,P14061
CHEMBL1627455,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCCl)[C@@H]2O,IC50,1000.0,nM,6.0,,CHEMBL615175,8,CHEMBL3181,CHEMBL1127765,7x3z,P14061
CHEMBL1627884,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCF)[C@@H]2O,IC50,4300.0,nM,5.37,,CHEMBL615175,8,CHEMBL3181,CHEMBL1127765,7x3z,P14061
CHEMBL1627451,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCSC#N)[C@@H]2O,IC50,1150.0,nM,5.94,,CHEMBL615175,8,CHEMBL3181,CHEMBL1127765,7x3z,P14061
CHEMBL1627749,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC(CC(=O)NCc1cccnc1)C2=O,IC50,37.0,nM,7.43,,CHEMBL832971,9,CHEMBL3181,CHEMBL1143588,7x3z,P14061
CHEMBL1627749,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC(CC(=O)NCc1cccnc1)C2=O,IC50,37.0,nM,7.43,,CHEMBL832971,9,CHEMBL3181,CHEMBL1143588,7x3z,P14061
CHEMBL1627752,CCc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)C(CC(=O)NCc3cccnc3)C[C@@H]12,IC50,27.0,nM,7.57,,CHEMBL832971,9,CHEMBL3181,CHEMBL1143588,7x3z,P14061
CHEMBL1627742,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)C(CC(=O)NCc3cccnc3)C[C@@H]12,IC50,290.0,nM,6.54,,CHEMBL832971,9,CHEMBL3181,CHEMBL1143588,7x3z,P14061
CHEMBL1627450,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCBr)[C@@H]2O,IC50,460.0,nM,6.34,,CHEMBL884697,9,CHEMBL3181,CHEMBL1141073,7x3z,P14061
CHEMBL1627450,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCBr)[C@@H]2O,IC50,460.0,nM,6.34,,CHEMBL884697,9,CHEMBL3181,CHEMBL1141073,7x3z,P14061
