molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL358997,COc1ccc(NCc2cc(O)ccc2O)c2c1C(=O)N(CCc1ccccc1)C2,IC50,9500.0,nM,5.02,,CHEMBL815201,8,CHEMBL3658,CHEMBL1135632,7x4n,P02550
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IC50,1900.0,nM,5.72,,CHEMBL816887,8,CHEMBL3658,CHEMBL1127208,7x4n,P02550
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IC50,1900.0,nM,5.72,,CHEMBL816887,8,CHEMBL3658,CHEMBL1127208,7x4n,P02550
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IC50,1900.0,nM,5.72,,CHEMBL816887,8,CHEMBL3658,CHEMBL1127208,7x4n,P02550
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IC50,1900.0,nM,5.72,,CHEMBL816887,8,CHEMBL3658,CHEMBL1127208,7x4n,P02550
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IC50,1900.0,nM,5.72,,CHEMBL816887,8,CHEMBL3658,CHEMBL1127208,7x4n,P02550
CHEMBL418565,COC(=O)Nc1cn2nc(OCc3cc(OC)c(OC)c(OC)c3)ccc2n1,IC50,310.0,nM,6.51,,CHEMBL878644,8,CHEMBL3658,CHEMBL1126349,7x4n,P02550
CHEMBL418565,COC(=O)Nc1cn2nc(OCc3cc(OC)c(OC)c(OC)c3)ccc2n1,IC50,310.0,nM,6.51,,CHEMBL878644,8,CHEMBL3658,CHEMBL1126349,7x4n,P02550
CHEMBL77552,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1O,IC50,3000.0,nM,5.52,,CHEMBL816887,8,CHEMBL3658,CHEMBL1127208,7x4n,P02550
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IC50,1500.0,nM,5.82,,CHEMBL816889,8,CHEMBL3658,CHEMBL1126349,7x4n,P02550
