molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3442102,Cc1ccc(S(=O)(=O)N2CCCC3(CCCN3S(C)(=O)=O)C2)cc1F,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3442102,Cc1ccc(S(=O)(=O)N2CCCC3(CCCN3S(C)(=O)=O)C2)cc1F,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
CHEMBL3440935,CC(C)n1ccc(-c2cc(C(=O)NC3CC3)c3ccccn23)n1,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3440935,CC(C)n1ccc(-c2cc(C(=O)NC3CC3)c3ccccn23)n1,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
CHEMBL3499500,CC(C)n1ccc(-c2cc(C(=O)N3CCN(C)CC3)c3ccccn23)n1.O=C(O)C(F)(F)F,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3499500,CC(C)n1ccc(-c2cc(C(=O)N3CCN(C)CC3)c3ccccn23)n1.O=C(O)C(F)(F)F,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
CHEMBL3502896,CN1CCCN(C(=O)c2cc(-c3cc[nH]n3)n3ccccc23)CC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3502896,CN1CCCN(C(=O)c2cc(-c3cc[nH]n3)n3ccccc23)CC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
CHEMBL3440946,CCCNC(=O)c1cc(-c2ccn(C(C)C)n2)n2ccccc12,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3440946,CCCNC(=O)c1cc(-c2ccn(C(C)C)n2)n2ccccc12,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
CHEMBL3497499,CCNCc1ccc(OCc2ccc3c(c2)OCCO3)cc1.Cl,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3497499,CCNCc1ccc(OCc2ccc3c(c2)OCCO3)cc1.Cl,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
CHEMBL3443455,NC(=O)C1CCN(c2nc3nccc(-c4cccnc4)c3c(=O)[nH]2)CC1,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3443455,NC(=O)C1CCN(c2nc3nccc(-c4cccnc4)c3c(=O)[nH]2)CC1,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
CHEMBL3443456,NC(=O)C1CCN(c2nc3nccc(-c4ccncc4)c3c(=O)[nH]2)CC1,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3443456,NC(=O)C1CCN(c2nc3nccc(-c4ccncc4)c3c(=O)[nH]2)CC1,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
CHEMBL3443461,COc1ccccc1C1CC(=O)Nc2nc(N3CCCCC3)sc21,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC3
CHEMBL3443461,COc1ccccc1C1CC(=O)Nc2nc(N3CCCCC3)sc21,IC50,100000.0,nM,,,CHEMBL4649972,6,CHEMBL4662931,CHEMBL3988442,7x8x,P9WPC5
