molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL176946,CCCOC(=O)CC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)OCCC,IC50,250000.0,nM,,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL426936,CCC(=O)CC(C)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,IC50,217000.0,nM,,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL359933,CCCC(CC(C)=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,IC50,8100.0,nM,5.09,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL174957,CC(=O)CC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(C)C,IC50,250000.0,nM,,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL174379,COC(=O)CC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)OC,IC50,208000.0,nM,,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL174893,CCC(CC(C)=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,IC50,5200.0,nM,5.28,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL176294,CCCCOC(=O)CC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)O,IC50,40300.0,nM,4.39,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL177327,NC(CCC(=O)NC(CSC(CC(=O)O)C(=O)O)C(=O)NCC(=O)O)C(=O)O,IC50,250000.0,nM,,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL175098,NC(CCC(=O)NC(CSC1CCCC(=O)C1)C(=O)NCC(=O)O)C(=O)O,IC50,250000.0,nM,,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL441308,CC(=O)CC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)c1ccccc1,IC50,155000.0,nM,,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL369465,CC(C)C(=O)CC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)c1ccccc1,IC50,250000.0,nM,,,CHEMBL682620,9,CHEMBL3902,CHEMBL1133158,7xba,P09211
CHEMBL197468,NC(CCC(=O)NC(CSCCO)C(=O)NCC(=O)O)C(=O)O,IC50,280000.0,nM,,,CHEMBL880410,9,CHEMBL3902,CHEMBL1140414,7xba,P09211
CHEMBL197468,NC(CCC(=O)NC(CSCCO)C(=O)NCC(=O)O)C(=O)O,IC50,280000.0,nM,,,CHEMBL880410,9,CHEMBL3902,CHEMBL1140414,7xba,P09211
CHEMBL196798,NC(CCC(=O)NC(CSC(CO)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,IC50,9000.0,nM,5.05,,CHEMBL880410,9,CHEMBL3902,CHEMBL1140414,7xba,P09211
CHEMBL196798,NC(CCC(=O)NC(CSC(CO)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,IC50,9000.0,nM,5.05,,CHEMBL880410,9,CHEMBL3902,CHEMBL1140414,7xba,P09211
CHEMBL197460,NC(CCC(=O)NC(CSCC(O)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,IC50,4700.0,nM,5.33,,CHEMBL880410,9,CHEMBL3902,CHEMBL1140414,7xba,P09211
CHEMBL197460,NC(CCC(=O)NC(CSCC(O)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,IC50,4700.0,nM,5.33,,CHEMBL880410,9,CHEMBL3902,CHEMBL1140414,7xba,P09211
CHEMBL195934,NC(CCC(=O)NC(CSC(C(=O)O)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,IC50,5500.0,nM,5.26,,CHEMBL880410,9,CHEMBL3902,CHEMBL1140414,7xba,P09211
CHEMBL195934,NC(CCC(=O)NC(CSC(C(=O)O)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,IC50,5500.0,nM,5.26,,CHEMBL880410,9,CHEMBL3902,CHEMBL1140414,7xba,P09211
CHEMBL60020,C/C=C/C(=O)OCC1=CCCCC1=O,IC50,29600.0,nM,4.53,,CHEMBL881896,9,CHEMBL3902,CHEMBL1141121,7xba,P09211
CHEMBL60020,C/C=C/C(=O)OCC1=CCCCC1=O,IC50,29600.0,nM,4.53,,CHEMBL881896,9,CHEMBL3902,CHEMBL1141121,7xba,P09211
CHEMBL60020,C/C=C/C(=O)OCC1=CCCCC1=O,IC50,13200.0,nM,4.88,,CHEMBL856816,9,CHEMBL3902,CHEMBL1141121,7xba,P09211
CHEMBL60020,C/C=C/C(=O)OCC1=CCCCC1=O,IC50,13200.0,nM,4.88,,CHEMBL856816,9,CHEMBL3902,CHEMBL1141121,7xba,P09211
CHEMBL197993,C/C=C/OC(=O)CC1=CCCCCC1=O,IC50,10800.0,nM,4.97,,CHEMBL881896,9,CHEMBL3902,CHEMBL1141121,7xba,P09211
CHEMBL197993,C/C=C/OC(=O)CC1=CCCCCC1=O,IC50,10800.0,nM,4.97,,CHEMBL881896,9,CHEMBL3902,CHEMBL1141121,7xba,P09211
CHEMBL197993,C/C=C/OC(=O)CC1=CCCCCC1=O,IC50,2600.0,nM,5.58,,CHEMBL881393,9,CHEMBL3902,CHEMBL1141121,7xba,P09211
