molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL511115,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,IC50,63.0,nM,7.2,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL74078,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1,IC50,1.0,nM,9.0,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL74078,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1,IC50,1.0,nM,9.0,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL74078,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1,IC50,1.0,nM,9.0,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL74078,O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1,IC50,1.0,nM,9.0,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL77826,O=C(O)c1ccc(-c2cc3cccnc3c(-c3ccc4nonc4c3)n2)cc1,IC50,1.5,nM,8.82,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
CHEMBL77826,O=C(O)c1ccc(-c2cc3cccnc3c(-c3ccc4nonc4c3)n2)cc1,IC50,1.5,nM,8.82,,CHEMBL761828,9,CHEMBL288,CHEMBL1135378,7xbb,Q08499
