molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384012,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384012,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384012,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384011,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384011,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384011,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384010,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384010,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL205548,N=C(N)Nc1ccc(O[C@H]2C[C@@H](Oc3ccc(NC(=N)N)cc3NC(=N)N)[C@H](NC(=N)N)C[C@@H]2NC(=N)N)c(NC(=N)N)c1,IC50,1000.0,nM,6.0,,CHEMBL3384010,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL2312794,COc1ccc(-c2nnc(C(Cc3ccccc3)n3sc4ccccc4c3=O)o2)cc1,IC50,3750.0,nM,5.43,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL1255949,CC(C)C[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(N)=O)C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N2,IC50,11700.0,nM,4.93,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL539922,Cc1ccc(C(NN=C(N)N)[PH](=O)O)cc1,IC50,14000.0,nM,4.85,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL3352909,Cc1cc(C)c2c(c1)OC(c1ccc(N(C)C)cc1)CC2=O,IC50,121000.0,nM,,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL3352908,O=c1cc(-c2ccccc2)oc2ccc(-c3cn[nH]n3)cc12,IC50,69000.0,nM,4.16,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL3344306,Cc1cccc(C)c1-n1c(SCc2cc(=O)n3cc(Cl)ccc3n2)nc2c(sc(=S)n2-c2c(C)cccc2C)c1=O,IC50,3900.0,nM,5.41,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL3344306,Cc1cccc(C)c1-n1c(SCc2cc(=O)n3cc(Cl)ccc3n2)nc2c(sc(=S)n2-c2c(C)cccc2C)c1=O,IC50,3900.0,nM,5.41,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL3344305,CC(=O)N1N=C(c2cc(-c3ccccc3)nc3ccccc23)OC1c1ccc(C(=O)O)cc1,IC50,12500.0,nM,4.9,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
CHEMBL3344305,CC(=O)N1N=C(c2cc(-c3ccccc3)nc3ccccc23)OC1c1ccc(C(=O)O)cc1,IC50,12500.0,nM,4.9,,CHEMBL3384004,8,CHEMBL3559678,CHEMBL3352310,7xd9,Q91H74
