molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1828978,Cc1noc(C)c1-c1ccc2c(c1)CN(C)C(=O)N2,IC50,3400.0,nM,5.47,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1828979,Cc1noc(C)c1-c1ccccc1,IC50,200000.0,nM,,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1828980,CC(=O)c1cccc(-c2c(C)noc2C)c1,IC50,55700.0,nM,4.25,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1828981,CCOc1cccc(-c2c(C)noc2C)c1,IC50,86900.0,nM,4.06,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1828982,Cc1noc(C)c1-c1cccc(C(C)O)c1,IC50,45400.0,nM,4.34,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1828983,CCOC(=O)c1cc(OCC)cc(-c2c(C)noc2C)c1,IC50,49400.0,nM,4.31,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1828984,CCOc1cc(C(=O)O)cc(-c2c(C)noc2C)c1,IC50,32200.0,nM,4.49,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1828985,CCOc1cc(C(C)=O)cc(-c2c(C)noc2C)c1,IC50,12900.0,nM,4.89,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1828986,CCOc1cc(-c2c(C)noc2C)cc(C(C)O)c1,IC50,28100.0,nM,4.55,,CHEMBL1832993,9,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL12543,CN1CCCC1=O,IC50,2300000.0,nM,,,CHEMBL1832999,8,CHEMBL5747,CHEMBL1828554,7xh6,Q92793
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,10000.0,nM,,,CHEMBL1958570,8,CHEMBL5747,CHEMBL1955852,7xh6,Q92793
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,10000.0,nM,,,CHEMBL1958570,8,CHEMBL5747,CHEMBL1955852,7xh6,Q92793
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,10000.0,nM,,,CHEMBL1958570,8,CHEMBL5747,CHEMBL1955852,7xh6,Q92793
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,10000.0,nM,,,CHEMBL1958570,8,CHEMBL5747,CHEMBL1955852,7xh6,Q92793
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,10000.0,nM,,,CHEMBL1958570,8,CHEMBL5747,CHEMBL1955852,7xh6,Q92793
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,10000.0,nM,,,CHEMBL1958570,8,CHEMBL5747,CHEMBL1955852,7xh6,Q92793
CHEMBL2335144,COCCOc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,IC50,2070.0,nM,5.68,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2331593,COc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,IC50,3960.0,nM,5.4,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335145,Cc1noc(C)c1-c1cc(OCCO)cc(C(O)c2ccccc2)c1,IC50,2810.0,nM,5.55,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335147,Cc1noc(C)c1-c1cc(O)cc([C@H](O)c2ccccc2)c1,IC50,1100.0,nM,5.96,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335148,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2cccc(Cl)c2)c1,IC50,8500.0,nM,5.07,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335150,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2ccc(Cl)cc2)c1,IC50,10800.0,nM,4.97,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335149,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2cccc(F)c2)c1,IC50,6300.0,nM,5.2,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335151,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2ccc(F)cc2)c1,IC50,8600.0,nM,5.07,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335152,CCOc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,IC50,4100.0,nM,5.39,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335153,CC(=O)Oc1cc(-c2c(C)noc2C)cc(C(O)c2ccccc2)c1,IC50,2480.0,nM,5.61,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL2335154,Cc1noc(C)c1-c1cc(O)cc([C@@H](O)c2ccccc2)c1,IC50,771.0,nM,6.11,,CHEMBL2344877,9,CHEMBL5747,CHEMBL2331285,7xh6,Q92793
CHEMBL3108801,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(=O)(=O)c4ccccc4Cl)c3)nn12,IC50,199.53,nM,6.7,,CHEMBL3111333,9,CHEMBL5747,CHEMBL3108763,7xh6,Q92793
