molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,87.01,nM,7.06,,CHEMBL5651449,9,CHEMBL6067419,CHEMBL5649169,7xhf,Q13283
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,87.01,nM,7.06,,CHEMBL5651449,9,CHEMBL6067419,CHEMBL5649169,7xhf,Q14694
CHEMBL2391504,Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1,IC50,600.0,nM,6.22,,CHEMBL3412294,9,CHEMBL3407323,CHEMBL3407357,7xhf,Q14694
CHEMBL2391504,Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1,IC50,600.0,nM,6.22,,CHEMBL3412294,9,CHEMBL3407323,CHEMBL3407357,7xhf,Q14694
CHEMBL2391504,Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1,IC50,600.0,nM,6.22,,CHEMBL3412294,9,CHEMBL3407323,CHEMBL3407357,7xhf,Q14694
CHEMBL5517818,Cc1ccc2c(=O)c(-c3nc(-c4ccccc4C)no3)cn(CC(=O)Nc3c(F)cccc3F)c2n1,IC50,11100.0,nM,4.96,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5558333,Cc1ccc2c(=O)c(C(=O)Nc3ccccc3C)cn(CC(=O)NCCc3ccc(Cl)cc3)c2n1,IC50,9500.0,nM,5.02,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5558888,Cc1ccc2c(=O)c(C(=O)N3CCOCC3)cn(CC(=O)NCCc3ccc(Cl)cc3)c2n1,IC50,30000.0,nM,,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5555467,Cc1ccc2c(=O)c(C(=O)NC3CCOCC3)cn(CC(=O)NCCc3ccc(Cl)cc3)c2n1,IC50,30000.0,nM,,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5556053,Cc1ccc2c(=O)c(C(=O)N[C@@H](C)c3ccccc3)cn(CC(=O)NCCc3ccc(Cl)cc3)c2c1,IC50,30000.0,nM,,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5505861,COc1ccc([C@H](C)NC(=O)c2cn(CC(=O)NCCc3ccc(Cl)cc3)c3cc(C)ccc3c2=O)cc1,IC50,21200.0,nM,4.67,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5543035,Cc1ccc2c(=O)c(C(=O)N[C@@H](C)c3ccc(F)cc3)cn(CC(=O)NCCc3ccc(Cl)cc3)c2c1,IC50,30000.0,nM,,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5557877,Cc1ccccc1NC(=O)c1cn(CC(=O)NCCc2ccc(Cl)cc2)c2cc(N3CCCCC3)ccc2c1=O,IC50,10600.0,nM,4.97,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5512514,Cc1ccccc1NC(=O)c1cn(CC(=O)NCCc2ccc(Cl)cc2)c2cc(N3CCOCC3)ccc2c1=O,IC50,8400.0,nM,5.08,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5549965,Cc1ccc2c(c1)c(=O)c(C(=O)Nc1ccccc1C)cn2CC(=O)NCCc1ccc(Cl)cc1,IC50,30000.0,nM,,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5556966,Cc1ccccc1NC(=O)c1cn(CC(=O)NCCc2ccc(Cl)cc2)c2ccc(F)cc2c1=O,IC50,30000.0,nM,,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5517997,C[C@H](NC(=O)c1cn(CC(=O)NCCc2ccc(Cl)cc2)c2cc(C(F)(F)F)ccc2c1=O)c1ccccc1,IC50,30000.0,nM,,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
CHEMBL5542279,C[C@H](NC(=O)c1cn(CC(=O)NCCc2ccc(Cl)cc2)c2cc(F)ccc2c1=O)c1ccccc1,IC50,11900.0,nM,4.92,,CHEMBL5503120,9,CHEMBL3407323,CHEMBL5500382,7xhf,Q14694
