molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,IC50,1.0,nM,9.0,,CHEMBL1009901,8,CHEMBL5331,CHEMBL1139387,7xhy,Q12866
CHEMBL460702,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957098,8,CHEMBL5331,CHEMBL1140952,7xhy,Q12866
CHEMBL460702,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957098,8,CHEMBL5331,CHEMBL1140952,7xhy,Q12866
CHEMBL460702,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957098,8,CHEMBL5331,CHEMBL1140952,7xhy,Q12866
CHEMBL460702,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957098,8,CHEMBL5331,CHEMBL1140952,7xhy,Q12866
CHEMBL1822792,CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1,IC50,24.0,nM,7.62,,CHEMBL1804193,9,CHEMBL5331,CHEMBL1800066,7xhy,Q12866
CHEMBL1834657,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O,IC50,10000.0,nM,,,CHEMBL1839849,8,CHEMBL5331,CHEMBL1833940,7xhy,Q12866
CHEMBL1933538,O=C(c1cc2cc(F)ccc2[nH]1)N1C[C@]2(CCN(C3CCCNC3)C2)c2ccccc21,IC50,6930.0,nM,5.16,,CHEMBL1936139,8,CHEMBL5331,CHEMBL1933021,7xhy,Q12866
CHEMBL1933550,O=C(c1cc2ccc(F)cc2[nH]1)N1C[C@]2(CCN(C3CCNC3)C2)c2ccccc21,IC50,2440.0,nM,5.61,,CHEMBL1936139,8,CHEMBL5331,CHEMBL1933021,7xhy,Q12866
CHEMBL1933551,C[C@@H]1CCC(N2CC[C@]3(CN(C(=O)c4cc5ccccc5[nH]4)c4ccccc43)C2)CN1,IC50,2340.0,nM,5.63,,CHEMBL1936139,8,CHEMBL5331,CHEMBL1933021,7xhy,Q12866
CHEMBL1933552,C[C@@H]1CCC(N2CC[C@]3(CN(C(=O)c4cc5ccc(F)cc5[nH]4)c4ccccc43)C2)CN1,IC50,970.0,nM,6.01,,CHEMBL1936139,8,CHEMBL5331,CHEMBL1933021,7xhy,Q12866
CHEMBL460702,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL2027233,8,CHEMBL5331,CHEMBL2021829,7xhy,Q12866
CHEMBL460702,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL2027233,8,CHEMBL5331,CHEMBL2021829,7xhy,Q12866
CHEMBL460702,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL2027233,8,CHEMBL5331,CHEMBL2021829,7xhy,Q12866
