molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3109221,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)no1,IC50,200.0,nM,6.7,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL3109221,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)no1,IC50,200.0,nM,6.7,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL3109221,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)no1,IC50,200.0,nM,6.7,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL396107,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)c12,IC50,7900.0,nM,5.1,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL396107,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)c12,IC50,7900.0,nM,5.1,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL396107,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)c12,IC50,7900.0,nM,5.1,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL436806,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4ccc5ccccc5c4)cc3)c12,IC50,790.0,nM,6.1,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL436806,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4ccc5ccccc5c4)cc3)c12,IC50,790.0,nM,6.1,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL3109220,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,IC50,7900.0,nM,5.1,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL3109220,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,IC50,7900.0,nM,5.1,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL3109220,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,IC50,7900.0,nM,5.1,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL3109219,CCc1cccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)c1,IC50,250.0,nM,6.6,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL3109219,CCc1cccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)c1,IC50,250.0,nM,6.6,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
CHEMBL3109219,CCc1cccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)c1,IC50,250.0,nM,6.6,,CHEMBL3110728,9,CHEMBL5464,CHEMBL3108776,7xmk,Q13546
