molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL23013,N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2)cc1,IC50,9000.0,nM,5.05,,CHEMBL5252274,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,IC50,1200.0,nM,5.92,,CHEMBL5252274,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL169901,N=C(N)N1CCc2ccccc2C1,IC50,70000.0,nM,4.16,,CHEMBL5252274,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL169901,N=C(N)N1CCc2ccccc2C1,IC50,70000.0,nM,4.16,,CHEMBL5252274,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL5270157,N=C(N)N1CCc2cc(NC(=O)c3ccc4ccccc4c3)ccc2C1,IC50,4000.0,nM,5.4,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL5271456,COc1ccc(C(=O)Nc2ccc3c(c2)CCN(C(=N)N)C3)cc1,IC50,9000.0,nM,5.05,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL169901,N=C(N)N1CCc2ccccc2C1,IC50,23000.0,nM,4.64,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL169901,N=C(N)N1CCc2ccccc2C1,IC50,23000.0,nM,4.64,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL5275059,N=C(N)N1CCc2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2C1,IC50,20000.0,nM,4.7,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL5270536,N=C(N)N1CCc2cc(NC(=O)Cc3ccccc3)ccc2C1,IC50,20000.0,nM,4.7,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL5285196,N=C(N)N1CCc2cc(NC(=O)c3cccc4ccccc34)ccc2C1,IC50,3400.0,nM,5.47,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL5266850,Cc1ccc(C(=O)Nc2ccc3c(c2)CCN(C(=N)N)C3)cc1,IC50,4000.0,nM,5.4,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL5275526,N=C(N)N1CCc2cc(NC(=O)c3ccccc3)ccc2C1,IC50,20000.0,nM,4.7,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL5287275,N=C(N)N1CCc2cc(NC(=O)c3ccc(Cl)cc3)ccc2C1,IC50,12000.0,nM,4.92,,CHEMBL5252279,9,CHEMBL1795140,CHEMBL5247670,7y0f,O15393
CHEMBL506247,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,IC50,2310.0,nM,5.64,,CHEMBL5505505,9,CHEMBL1795140,CHEMBL5500424,7y0f,O15393
CHEMBL35241,N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1,IC50,1350.0,nM,5.87,,CHEMBL5505512,9,CHEMBL1795140,CHEMBL5500424,7y0f,O15393
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,IC50,1.0,nM,9.0,,CHEMBL5505512,9,CHEMBL1795140,CHEMBL5500424,7y0f,O15393
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,IC50,1.0,nM,9.0,,CHEMBL5505512,9,CHEMBL1795140,CHEMBL5500424,7y0f,O15393
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,IC50,0.5,nM,9.3,,CHEMBL5506181,9,CHEMBL1795140,CHEMBL5505952,7y0f,O15393
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,IC50,0.5,nM,9.3,,CHEMBL5506181,9,CHEMBL1795140,CHEMBL5505952,7y0f,O15393
CHEMBL590799,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,IC50,3.9,nM,8.41,,CHEMBL5506181,9,CHEMBL1795140,CHEMBL5505952,7y0f,O15393
CHEMBL1185793,N=C(N)Nc1ccc(C(=O)Oc2ccc(CC(=O)O)cc2)cc1,IC50,70.0,nM,7.16,,CHEMBL5506181,9,CHEMBL1795140,CHEMBL5505952,7y0f,O15393
CHEMBL87563,CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,IC50,130.0,nM,6.89,,CHEMBL5506181,9,CHEMBL1795140,CHEMBL5505952,7y0f,O15393
CHEMBL46618,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cc[n+]([O-])cc2)cc1,IC50,620.0,nM,6.21,,CHEMBL5506181,9,CHEMBL1795140,CHEMBL5505952,7y0f,O15393
CHEMBL147503,COc1ccc(NC(=O)c2ccc(-c3ccc(C(=N)N)cc3C)cc2)cc1N1CCN(C)CC1,IC50,1240.0,nM,5.91,,CHEMBL5506181,9,CHEMBL1795140,CHEMBL5505952,7y0f,O15393
CHEMBL5561725,CC(=O)N[C@H]1Cc2ccc(cc2)OC/C=C\CNC(=O)C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c2nc3ccccc3s2)NC(=O)[C@H](CC(C)C)NC1=O,IC50,22.0,nM,7.66,,CHEMBL5521820,9,CHEMBL1795140,CHEMBL5518225,7y0f,O15393
