molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL356452,Nc1ccc2nc(-c3ccc(Br)cc3)cc(C(=O)O)c2c1,IC50,95000.0,nM,4.02,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL150306,O=C(O)/C=C/c1ccc2nc(-c3ccc(Br)cc3)cc(C(=O)O)c2c1,IC50,80000.0,nM,4.1,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL151769,Cc1cc(Cl)cc2nc(-c3ccc(Br)cc3)cc(C(=O)O)c12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL346646,Cc1c(F)ccc2c(C(=O)O)cc(-c3ccc(Br)cc3)nc12,IC50,60000.0,nM,4.22,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL151890,O=C(O)c1cc(-c2ccc(C(F)(F)F)cc2)nc2ccccc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL345331,Cc1cc(Cl)cc2c(C(=O)OCc3ccc(Cl)c(Cl)c3)cc(-c3ccc(Br)cc3)nc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL440534,O=C(O)c1cc(-c2ccc(Br)cc2)nc2ccccc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL153238,O=C(O)c1cc(-c2ccc(Br)cc2)nc2ccc(Cl)cc12,IC50,20000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL153066,O=C(O)c1cc(-c2ccc(Br)cc2)nc2ccc(S(=O)(=O)O)cc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL357355,Cc1cc(Cl)cc2c(C(=O)O)cc(-c3ccc(Br)cc3)nc12,IC50,20000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL149961,COc1ccc(-c2cc(C(=O)O)c3ccccc3n2)cc1,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL357572,O=C(O)c1cc(-c2ccc(Br)cc2)nc2ccc(I)cc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL149973,O=C(O)c1cc(-c2ccc(Br)cc2)nc2c(C(F)(F)F)cc(Br)cc12,IC50,56000.0,nM,4.25,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL153295,O=C(O)c1cc(-c2ccc(Br)cc2)nc2ccc(OC(F)(F)F)cc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL415737,O=C(O)c1cc(-c2ccncc2)nc2ccccc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL150407,O=C(O)c1cc(-c2ccc(Br)cc2)nc2c(CO)cc(Cl)cc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL348000,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL153072,O=C(O)c1cc(-c2ccc(Cl)s2)nc2ccccc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL150488,Cc1cc(Cl)c2nc(-c3ccc(Br)cc3)cc(C(=O)O)c2c1,IC50,20000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL150249,O=C(O)c1cc(-c2ccc(Cl)c(Cl)c2)nc2ccccc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL345300,O=C(O)c1cc(-c2ccc3ccccc3c2)nc2ccccc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL150924,O=C(O)c1cc(-c2ccco2)nc2ccccc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL348184,Cc1c(Br)ccc2c(C(=O)O)cc(-c3ccc(Br)cc3)nc12,IC50,70000.0,nM,4.16,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL358675,O=C(O)c1cc(-c2ccc(Br)cc2)nc2cc(Cl)cc(Cl)c12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL153347,O=C(O)c1cc(-c2ccc(Br)cc2)nc2ccc(Br)cc12,IC50,20000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
CHEMBL151039,Cc1cc(Cl)cc2c(C(=O)Oc3nn[nH]n3)cc(-c3ccc(Br)cc3)nc12,IC50,100000.0,nM,,,CHEMBL844884,8,CHEMBL3873,CHEMBL1134197,7y28,P07814
