molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL423694,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,IC50,10000.0,nM,,,CHEMBL857684,8,CHEMBL237,CHEMBL1133469,7yit,P41145
CHEMBL359203,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCC2(CC1)OCCO2,IC50,,nM,,Not Determined,CHEMBL754715,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL148416,C=CCC1(CN2CCCC2)CCCCN1C(=O)Cc1ccc(Cl)c(Cl)c1,IC50,10000.0,nM,,,CHEMBL824621,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL278078,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,IC50,10000.0,nM,,,CHEMBL857684,8,CHEMBL237,CHEMBL1133469,7yit,P41145
CHEMBL146140,NC(=O)[C@@H]1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,IC50,1200.0,nM,5.92,,CHEMBL754714,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL146682,COC(=O)/C=C1\CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,IC50,1020.0,nM,5.99,,CHEMBL824621,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL343246,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CC=CC1,IC50,3.5,nM,8.46,,CHEMBL753311,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL146884,O=C1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,IC50,46.0,nM,7.34,,CHEMBL824621,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL149668,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC2(CC1CN1CCCC1)SCCS2,IC50,5.0,nM,8.3,,CHEMBL824621,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL344541,O=C1CC[C@@H](CN2CCCC2)N(C(=O)Cc2ccc(Cl)c(Cl)c2)C1,IC50,390.0,nM,6.41,,CHEMBL754714,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL148219,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCC(O)C1,IC50,0.88,nM,9.06,,CHEMBL824621,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL147275,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCC[C@H](O)[C@H]1CN1CCCC1,IC50,970.0,nM,6.01,,CHEMBL824621,8,CHEMBL237,CHEMBL1126150,7yit,P41145
CHEMBL13470,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,IC50,2480.0,nM,5.61,,CHEMBL857684,8,CHEMBL237,CHEMBL1133469,7yit,P41145
CHEMBL13470,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,IC50,2480.0,nM,5.61,,CHEMBL857684,8,CHEMBL237,CHEMBL1133469,7yit,P41145
