molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL505807,O=C(O)c1cc(-c2ccccc2Cl)n[nH]1,IC50,980.0,nM,6.01,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL505807,O=C(O)c1cc(-c2ccccc2Cl)n[nH]1,IC50,980.0,nM,6.01,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL467705,COC(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,500.0,nM,6.3,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL467705,COC(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,500.0,nM,6.3,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL467705,COC(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,500.0,nM,6.3,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL467382,O=C(O)c1[nH]nc2c1COc1ccccc1-2,IC50,1300.0,nM,5.89,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL467382,O=C(O)c1[nH]nc2c1COc1ccccc1-2,IC50,1300.0,nM,5.89,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL468052,O=C(c1[nH]nc2c1COc1ccccc1-2)N1CCCC1,IC50,500.0,nM,6.3,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL468052,O=C(c1[nH]nc2c1COc1ccccc1-2)N1CCCC1,IC50,500.0,nM,6.3,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL467008,O=C(NCCO)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,44.0,nM,7.36,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL467008,O=C(NCCO)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,44.0,nM,7.36,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL445965,CC(C)NC(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,51.0,nM,7.29,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL445965,CC(C)NC(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,51.0,nM,7.29,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL466992,CN(C)C(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,119.0,nM,6.92,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL466992,CN(C)C(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,119.0,nM,6.92,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL509575,CC(C)(C)NC(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,398.0,nM,6.4,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL509575,CC(C)(C)NC(=O)c1cc(-c2ccc(Cl)cc2Cl)n[nH]1,IC50,398.0,nM,6.4,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL455023,CN1CCN(C(=O)c2cc(-c3ccc(Cl)cc3Cl)n[nH]2)CC1,IC50,828.0,nM,6.08,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
CHEMBL455023,CN1CCN(C(=O)c2cc(-c3ccc(Cl)cc3Cl)n[nH]2)CC1,IC50,828.0,nM,6.08,,CHEMBL1014656,8,CHEMBL5979,CHEMBL1139306,7yiv,P05186
