molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL571997,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,43651.58,nM,4.36,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL568828,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,25703.96,nM,4.59,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL568900,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,25118.86,nM,4.6,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL569308,CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,38904.51,nM,4.41,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL568986,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,60255.96,nM,4.22,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL568987,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,190546.07,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL571766,CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,575439.94,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL568812,CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,1023292.99,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL576268,CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,2290867.65,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL585737,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)[C@@H](C)O)C(=O)O,Kd,3388441.56,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL582831,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(C)C)C(=O)O,Kd,3311311.21,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL567022,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,7079457.84,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL569309,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(C)C)C(=O)O,Kd,13182567.39,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
CHEMBL570451,CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)CCSC)C(=O)O,Kd,15135612.48,nM,,,CHEMBL1050688,8,CHEMBL1075088,CHEMBL1156774,7yod,P45040
