molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1852052,O=C(O)c1ccc(-c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(Cl)c2)cc1,IC50,1000000.0,nM,,,CHEMBL2185428,9,CHEMBL2176853,CHEMBL2176984,7ytq,Q9UJ71
CHEMBL5290361,Cc1n[nH]c(C)c1Cc1ccc(O)cc1,IC50,1030000.0,nM,,,CHEMBL5242013,9,CHEMBL2176853,CHEMBL5241084,7ytq,Q9UJ71
CHEMBL5269455,CCOC(=O)c1sc(=O)[nH]c1C(F)(F)F,IC50,1060000.0,nM,,,CHEMBL5242013,9,CHEMBL2176853,CHEMBL5241084,7ytq,Q9UJ71
CHEMBL5266266,CCN1CCN(CC(C)c2ccc(F)cc2)CC1,IC50,1150000.0,nM,,,CHEMBL5242013,9,CHEMBL2176853,CHEMBL5241084,7ytq,Q9UJ71
CHEMBL5272727,CCOC(=O)C1CCNC(=O)C1O,IC50,1190000.0,nM,,,CHEMBL5242013,9,CHEMBL2176853,CHEMBL5241084,7ytq,Q9UJ71
CHEMBL5289548,CCOC(=O)c1cc(C(F)(F)F)n[nH]1,IC50,580000.0,nM,,,CHEMBL5242013,9,CHEMBL2176853,CHEMBL5241084,7ytq,Q9UJ71
CHEMBL63323,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,IC50,590000.0,nM,,,CHEMBL5242013,9,CHEMBL2176853,CHEMBL5241084,7ytq,Q9UJ71
CHEMBL5286552,C#CCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O,Ki,48000000.0,nM,,,CHEMBL5233380,9,CHEMBL2176853,CHEMBL5233207,7ytq,Q9UJ71
CHEMBL5283516,C#CCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(=O)Cc1nnn[nH]1,Ki,7600000.0,nM,,,CHEMBL5233380,9,CHEMBL2176853,CHEMBL5233207,7ytq,Q9UJ71
CHEMBL5272018,C#CCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(=O)CS(=O)(=O)O,Ki,1300000.0,nM,,,CHEMBL5233380,9,CHEMBL2176853,CHEMBL5233207,7ytq,Q9UJ71
CHEMBL3989750,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O.N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O.O=S(=O)(O)O,Ki,1400000.0,nM,,,CHEMBL5233380,9,CHEMBL2176853,CHEMBL5233207,7ytq,Q9UJ71
CHEMBL5271773,CC(=O)NCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NS(=O)(=O)c1ccc(C)cc1,Ki,320000.0,nM,,,CHEMBL5233380,9,CHEMBL2176853,CHEMBL5233207,7ytq,Q9UJ71
