molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL392515,Cc1ccc(C(=O)C2=C(O)C(=O)N(Cc3ccccc3)C2c2cccnc2)o1,IC50,103000.0,nM,,,CHEMBL940889,9,CHEMBL6195,CHEMBL1139799,7yv4,P15374
CHEMBL391877,COc1ccc(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2nncs2)cc1,IC50,154000.0,nM,,,CHEMBL940889,9,CHEMBL6195,CHEMBL1139799,7yv4,P15374
CHEMBL392723,CS(=O)(=O)Nc1ccc(C2=NN(C(=O)c3ccco3)C(c3ccco3)C2)cc1,IC50,,,,Not Determined,CHEMBL940889,9,CHEMBL6195,CHEMBL1139799,7yv4,P15374
CHEMBL391878,Cc1ccc(C(=O)C2=C(O)C(=O)N(Cc3cccnc3)C2c2ccc(F)cc2)o1,IC50,123000.0,nM,,,CHEMBL940889,9,CHEMBL6195,CHEMBL1139799,7yv4,P15374
CHEMBL1241672,CC(=O)O/N=C1/C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccc(Br)cc21,IC50,17000.0,nM,4.77,,CHEMBL1243700,9,CHEMBL6195,CHEMBL1240332,7yv4,P15374
CHEMBL1241673,CC(=O)O/N=C1/C(=O)N(Cc2cc(Cl)ccc2Cl)c2ccc(Br)cc21,IC50,25000.0,nM,4.6,,CHEMBL1243700,9,CHEMBL6195,CHEMBL1240332,7yv4,P15374
CHEMBL1241765,CC(=O)O/N=C1/C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccc(I)cc21,IC50,23000.0,nM,4.64,,CHEMBL1243700,9,CHEMBL6195,CHEMBL1240332,7yv4,P15374
CHEMBL590,CC1=CC(=O)c2ccccc2C1=O,IC50,71000.0,nM,4.15,,CHEMBL1243700,9,CHEMBL6195,CHEMBL1240332,7yv4,P15374
CHEMBL590,CC1=CC(=O)c2ccccc2C1=O,IC50,71000.0,nM,4.15,,CHEMBL1243700,9,CHEMBL6195,CHEMBL1240332,7yv4,P15374
CHEMBL1241766,CCCCc1ccc(-c2nnc(S)n2-c2ccc(C(C)C)cc2)cc1,IC50,47000.0,nM,4.33,,CHEMBL1243700,9,CHEMBL6195,CHEMBL1240332,7yv4,P15374
CHEMBL1241028,O=C1CC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,IC50,600.0,nM,6.22,,CHEMBL1243700,9,CHEMBL6195,CHEMBL1240332,7yv4,P15374
CHEMBL1241028,O=C1CC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,IC50,600.0,nM,6.22,,CHEMBL1243700,9,CHEMBL6195,CHEMBL1240332,7yv4,P15374
CHEMBL4129140,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,IC50,200000.0,nM,,,CHEMBL4119765,9,CHEMBL6195,CHEMBL4118084,7yv4,P15374
CHEMBL4641424,Nc1cc(-c2cc(Cl)cc3c2OC(C(=O)N2CCNCC2)C3)ccn1,IC50,80000.0,nM,,,CHEMBL4605971,9,CHEMBL6195,CHEMBL4602719,7yv4,P15374
CHEMBL4130194,CC(Cc1ccccc1)C(=O)N1CCC(O)(Cn2cnc3ccccc3c2=O)CC1,IC50,80000.0,nM,,,CHEMBL4605971,9,CHEMBL6195,CHEMBL4602719,7yv4,P15374
