molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL187061,CCCCCCCCCCCCCC1CCCCN1CCCP(=O)(O)O,IC50,230.0,nM,6.64,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL185447,CCCCCCCCCCCCCCN1CCCC1CCP(=O)(O)O,IC50,660.0,nM,6.18,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL363008,CCCCCCCCCCCCCCN1CCC(C(O)P(=O)(O)O)C1,IC50,40.0,nM,7.4,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL184237,CCCCCCCCCCCCCCN1CCC(O)(P(=O)(O)O)C1,IC50,34.0,nM,7.47,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL187645,CCCCCCCCCCCCCCN1CCC(O)(P(C)(=O)O)CC1,IC50,270.0,nM,6.57,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL187692,CCCCCCCCCCCCCC1CCCC(CCP(C)(=O)O)N1,IC50,15.0,nM,7.82,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL187692,CCCCCCCCCCCCCC1CCCC(CCP(C)(=O)O)N1,IC50,15.0,nM,7.82,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL187692,CCCCCCCCCCCCCC1CCCC(CCP(C)(=O)O)N1,IC50,61.0,nM,7.21,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL187692,CCCCCCCCCCCCCC1CCCC(CCP(C)(=O)O)N1,IC50,61.0,nM,7.21,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL187588,CCCCCCCCCCCCCC[C@H]1CC[C@H](CCP(=O)(O)O)N1,IC50,17.0,nM,7.77,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL359762,CCCCCCCCCCCCCCNC1CCCCC1CP(=O)(O)O,IC50,1000.0,nM,,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL184591,CCCCCCCCCCCCCCNC1CCC(P(=O)(O)O)C1,IC50,1000.0,nM,,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
CHEMBL186921,CCCCCCCCCCCCCCNC1CCCC(P(=O)(O)O)C1,IC50,130.0,nM,6.89,,CHEMBL833013,9,CHEMBL2274,CHEMBL1137868,7yxa,Q9H228
