molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL560733,Cc1cc(O)cc(-c2nn(CC#N)cc2-c2cc(NC[C@H](C)O)nc(-c3cccnc3)n2)c1,IC50,199.0,nM,6.7,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL560733,Cc1cc(O)cc(-c2nn(CC#N)cc2-c2cc(NC[C@H](C)O)nc(-c3cccnc3)n2)c1,IC50,199.0,nM,6.7,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL560733,Cc1cc(O)cc(-c2nn(CC#N)cc2-c2cc(NC[C@H](C)O)nc(-c3cccnc3)n2)c1,IC50,199.0,nM,6.7,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,0.07,nM,10.15,,CHEMBL1057208,8,CHEMBL5568,CHEMBL1153464,7z5w,P08922
CHEMBL575265,Cc1cc(O)cc(-c2nn(CC#N)cc2-c2ccnc(-c3cccnc3)c2)c1,IC50,209.0,nM,6.68,,CHEMBL1043167,8,CHEMBL5568,CHEMBL1155185,7z5w,P08922
CHEMBL1684800,COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1,IC50,1.0,nM,,,CHEMBL1687375,8,CHEMBL5568,CHEMBL1681781,7z5w,P08922
CHEMBL1738758,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,IC50,10000.0,nM,,,CHEMBL1776309,8,CHEMBL5568,CHEMBL1773059,7z5w,P08922
CHEMBL1738758,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,IC50,10000.0,nM,,,CHEMBL1776309,8,CHEMBL5568,CHEMBL1773059,7z5w,P08922
CHEMBL1834657,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O,IC50,3263.0,nM,5.49,,CHEMBL1839968,8,CHEMBL5568,CHEMBL1833940,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,1.0,nM,,,CHEMBL1919771,8,CHEMBL5568,CHEMBL1914457,7z5w,P08922
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,IC50,30000.0,nM,,,CHEMBL1931558,8,CHEMBL5568,CHEMBL1926590,7z5w,P08922
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1931558,8,CHEMBL5568,CHEMBL1926590,7z5w,P08922
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1931558,8,CHEMBL5568,CHEMBL1926590,7z5w,P08922
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1931558,8,CHEMBL5568,CHEMBL1926590,7z5w,P08922
