molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,IC50,30.0,nM,7.52,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,IC50,30.0,nM,7.52,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,IC50,30.0,nM,7.52,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,IC50,30.0,nM,7.52,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,IC50,5.0,nM,8.3,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,IC50,5.0,nM,8.3,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,IC50,5.0,nM,8.3,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,IC50,5.0,nM,8.3,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,IC50,5.0,nM,8.3,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,IC50,5.0,nM,8.3,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,IC50,5.0,nM,8.3,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL209560,O=C1NC(=S)S/C1=C\c1ccc(-c2ccc([N+](=O)[O-])cc2Br)o1,IC50,3600.0,nM,5.44,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL377337,O=C1NC(=S)S/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1,IC50,920.0,nM,6.04,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL377337,O=C1NC(=S)S/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1,IC50,920.0,nM,6.04,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,IC50,7260.0,nM,5.14,,CHEMBL871582,9,CHEMBL3267,CHEMBL1138050,7z61,P48736
