molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4129172,O=C(CSc1nnc[nH]1)Nc1ccc(C2C3CC4CC(C3)CC2C4)cc1,IC50,83.0,nM,7.08,,CHEMBL4120897,9,CHEMBL3334416,CHEMBL4118099,7zjp,P28347
CHEMBL4130196,CCCC[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc2cccc(Cl)c2)NC(C)[C@@H]2CCCN2C(=O)[C@@H](NC(C)=O)C(C)C)CCSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCC(=O)O)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C1=O,IC50,25.0,nM,7.6,,CHEMBL4120895,9,CHEMBL3334416,CHEMBL4118099,7zjp,P28347
CHEMBL4130196,CCCC[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc2cccc(Cl)c2)NC(C)[C@@H]2CCCN2C(=O)[C@@H](NC(C)=O)C(C)C)CCSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCC(=O)O)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C1=O,IC50,25.0,nM,7.6,,CHEMBL4120895,9,CHEMBL3334416,CHEMBL4118099,7zjp,P28347
CHEMBL4578591,Cc1ccc2c(c1)c1c3n2CCN(C[C@H](O)CN2CCN(C(=O)c4ccco4)CC2)[C@@H]3CCC1,IC50,48000.0,nM,4.32,,CHEMBL4423886,9,CHEMBL3334416,CHEMBL4422642,7zjp,P28347
CHEMBL32350,Cc1ccc2c(c1)c1c3n2CCNC3CCC1,IC50,40000.0,nM,4.4,,CHEMBL4423910,9,CHEMBL3334416,CHEMBL4422642,7zjp,P28347
CHEMBL32350,Cc1ccc2c(c1)c1c3n2CCNC3CCC1,IC50,40000.0,nM,4.4,,CHEMBL4423910,9,CHEMBL3334416,CHEMBL4422642,7zjp,P28347
CHEMBL242708,O=c1cc(CO)oc(C(Nc2ccccc2)c2ccccc2)c1O,IC50,2600.0,nM,5.58,,CHEMBL4670825,9,CHEMBL3334416,CHEMBL4665803,7zjp,P28347
CHEMBL5394226,N#CN1Cc2cccc(Nc3cccc(C(F)(F)F)c3)c2C1,IC50,900.0,nM,6.05,,CHEMBL5317165,9,CHEMBL3334416,CHEMBL5316282,7zjp,P28347
CHEMBL5394226,N#CN1Cc2cccc(Nc3cccc(C(F)(F)F)c3)c2C1,IC50,900.0,nM,6.05,,CHEMBL5317165,9,CHEMBL3334416,CHEMBL5316282,7zjp,P28347
CHEMBL5405832,COc1ccc2c(c1Nc1cccc(C(F)(F)F)c1)CN(C#N)C2,IC50,300.0,nM,6.52,,CHEMBL5317165,9,CHEMBL3334416,CHEMBL5316282,7zjp,P28347
