molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL377734,O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,IC50,10000.0,nM,,,CHEMBL866835,9,CHEMBL4375,CHEMBL1138058,7zks,Q96SB4
CHEMBL1916359,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)ccnc2c1-c1c(Cl)cccc1Cl,IC50,10000.0,nM,,,CHEMBL1919733,9,CHEMBL4375,CHEMBL1914450,7zks,Q96SB4
CHEMBL426445,O=C(O)c1ccc2cc3nc(-c4cccs4)c(-c4cccs4)nc3cc2c1,IC50,40.0,nM,7.4,,CHEMBL3365346,9,CHEMBL4375,CHEMBL3351459,7zks,Q96SB4
CHEMBL3741589,O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1,IC50,10000.0,nM,,,CHEMBL3743936,9,CHEMBL4375,CHEMBL3739276,7zks,Q96SB4
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,IC50,10000.0,nM,,,CHEMBL3750162,9,CHEMBL4375,CHEMBL3745707,7zks,Q96SB4
CHEMBL3884319,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,IC50,10000.0,nM,5.0,,CHEMBL3876076,9,CHEMBL4375,CHEMBL3875183,7zks,Q96SB4
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,24.5,nM,7.61,,CHEMBL4328610,9,CHEMBL4375,CHEMBL4325871,7zks,Q96SB4
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,24.5,nM,7.61,,CHEMBL4328610,9,CHEMBL4375,CHEMBL4325871,7zks,Q96SB4
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,24.5,nM,7.61,,CHEMBL4328610,9,CHEMBL4375,CHEMBL4325871,7zks,Q96SB4
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,24.5,nM,7.61,,CHEMBL4328610,9,CHEMBL4375,CHEMBL4325871,7zks,Q96SB4
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,24.5,nM,7.61,,CHEMBL4328610,9,CHEMBL4375,CHEMBL4325871,7zks,Q96SB4
CHEMBL4446681,CN(CCc1ccc(-c2ccccc2)cc1)Cc1cn(C)c2ccc(C(=O)Nc3ccc(F)cc3)cc12,IC50,7800.0,nM,5.11,,CHEMBL4340720,9,CHEMBL4375,CHEMBL4340507,7zks,Q96SB4
CHEMBL1738797,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,IC50,195.0,nM,6.71,,CHEMBL4351071,9,CHEMBL4375,CHEMBL4350951,7zks,Q96SB4
CHEMBL1738797,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,IC50,195.0,nM,6.71,,CHEMBL4351071,9,CHEMBL4375,CHEMBL4350951,7zks,Q96SB4
CHEMBL4468747,CCc1cc2c(cc1-c1cccc(S(=O)(=O)F)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,IC50,36.0,nM,7.44,,CHEMBL4351071,9,CHEMBL4375,CHEMBL4350951,7zks,Q96SB4
CHEMBL4468747,CCc1cc2c(cc1-c1cccc(S(=O)(=O)F)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,IC50,36.0,nM,7.44,,CHEMBL4351071,9,CHEMBL4375,CHEMBL4350951,7zks,Q96SB4
