molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,IC50,10000.0,nM,,,CHEMBL3750163,9,CHEMBL5668,CHEMBL3745707,7zkx,P78362
CHEMBL4276946,CC(=O)n1nc(C)c(-c2ccc(Cl)c(Cl)c2)c1N,IC50,100000.0,nM,,,CHEMBL4259106,9,CHEMBL5668,CHEMBL4257503,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,227.0,nM,6.64,,CHEMBL4328611,9,CHEMBL5668,CHEMBL4325871,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,227.0,nM,6.64,,CHEMBL4328611,9,CHEMBL5668,CHEMBL4325871,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,227.0,nM,6.64,,CHEMBL4328611,9,CHEMBL5668,CHEMBL4325871,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,227.0,nM,6.64,,CHEMBL4328611,9,CHEMBL5668,CHEMBL4325871,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,227.0,nM,6.64,,CHEMBL4328611,9,CHEMBL5668,CHEMBL4325871,7zkx,P78362
CHEMBL4438748,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,IC50,10000.0,nM,,,CHEMBL4379445,9,CHEMBL5668,CHEMBL4376834,7zkx,P78362
CHEMBL4634634,C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C,IC50,100000.0,nM,,,CHEMBL4603629,9,CHEMBL5668,CHEMBL4602617,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,185.0,nM,6.73,,CHEMBL4720547,9,CHEMBL5668,CHEMBL4715818,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,185.0,nM,6.73,,CHEMBL4720547,9,CHEMBL5668,CHEMBL4715818,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,185.0,nM,6.73,,CHEMBL4720547,9,CHEMBL5668,CHEMBL4715818,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,185.0,nM,6.73,,CHEMBL4720547,9,CHEMBL5668,CHEMBL4715818,7zkx,P78362
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,185.0,nM,6.73,,CHEMBL4720547,9,CHEMBL5668,CHEMBL4715818,7zkx,P78362
CHEMBL4088216,CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4884862,9,CHEMBL5668,CHEMBL4507327,7zkx,P78362
CHEMBL4549667,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4885153,9,CHEMBL5668,CHEMBL4507326,7zkx,P78362
CHEMBL4097778,CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,IC50,1000.0,nM,6.0,,CHEMBL4885438,9,CHEMBL5668,CHEMBL4507327,7zkx,P78362
CHEMBL5085558,CN(c1ncccc1CNc1ccnc(-c2nc3c(F)c(Cl)ccc3[nH]2)n1)S(C)(=O)=O,IC50,149.0,nM,6.83,Nanobret,CHEMBL5058559,9,CHEMBL5668,CHEMBL5058541,7zkx,P78362
CHEMBL5085558,CN(c1ncccc1CNc1ccnc(-c2nc3c(F)c(Cl)ccc3[nH]2)n1)S(C)(=O)=O,IC50,149.0,nM,6.83,Nanobret,CHEMBL5058559,9,CHEMBL5668,CHEMBL5058541,7zkx,P78362
CHEMBL5085558,CN(c1ncccc1CNc1ccnc(-c2nc3c(F)c(Cl)ccc3[nH]2)n1)S(C)(=O)=O,IC50,149.0,nM,6.83,Nanobret,CHEMBL5058559,9,CHEMBL5668,CHEMBL5058541,7zkx,P78362
CHEMBL5085558,CN(c1ncccc1CNc1ccnc(-c2nc3c(F)c(Cl)ccc3[nH]2)n1)S(C)(=O)=O,IC50,149.0,nM,6.83,Nanobret,CHEMBL5058559,9,CHEMBL5668,CHEMBL5058541,7zkx,P78362
CHEMBL5085558,CN(c1ncccc1CNc1ccnc(-c2nc3c(F)c(Cl)ccc3[nH]2)n1)S(C)(=O)=O,IC50,149.0,nM,6.83,Nanobret,CHEMBL5058559,9,CHEMBL5668,CHEMBL5058541,7zkx,P78362
CHEMBL4787157,COc1cc(/C=C2/C(=N)N3N=C(C(F)(F)F)SC3=NC2=O)ccc1O,IC50,203.0,nM,6.69,,CHEMBL5105887,9,CHEMBL5668,CHEMBL5104139,7zkx,P78362
CHEMBL4064277,O=C(Nc1cc(C(F)(F)F)ccc1N1CCCCC1)c1ccncc1,IC50,7400.0,nM,5.13,,CHEMBL5105887,9,CHEMBL5668,CHEMBL5104139,7zkx,P78362
CHEMBL4064277,O=C(Nc1cc(C(F)(F)F)ccc1N1CCCCC1)c1ccncc1,IC50,7400.0,nM,5.13,,CHEMBL5105887,9,CHEMBL5668,CHEMBL5104139,7zkx,P78362
CHEMBL4468747,CCc1cc2c(cc1-c1cccc(S(=O)(=O)F)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,IC50,98.0,nM,7.01,,CHEMBL5105890,9,CHEMBL5668,CHEMBL5104139,7zkx,P78362
CHEMBL4468747,CCc1cc2c(cc1-c1cccc(S(=O)(=O)F)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,IC50,98.0,nM,7.01,,CHEMBL5105890,9,CHEMBL5668,CHEMBL5104139,7zkx,P78362
CHEMBL5410156,CN(c1ncccc1CNc1ccnc(-c2nc3ccccc3[nH]2)n1)S(C)(=O)=O,IC50,10000.0,nM,,,CHEMBL5321355,9,CHEMBL5668,CHEMBL5321194,7zkx,P78362
CHEMBL5417678,CN(c1ncccc1CNc1ccnc(-c2nc3ccc(C#N)cc3[nH]2)n1)S(C)(=O)=O,IC50,3770.0,nM,5.42,,CHEMBL5321355,9,CHEMBL5668,CHEMBL5321194,7zkx,P78362
CHEMBL5434661,CN(c1ncccc1CNc1ccnc(-c2nc3ccc(F)cc3[nH]2)n1)S(C)(=O)=O,IC50,1990.0,nM,5.7,,CHEMBL5321355,9,CHEMBL5668,CHEMBL5321194,7zkx,P78362
