molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1439,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],IC50,200000.0,nM,,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL25644,CC1(C)S[C@@H]2[C@H](CS)C(=O)N2[C@H]1C(=O)O,IC50,32100.0,nM,4.49,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL24275,CC1(C)S[C@@H]2[C@@H](S)C(=O)N2[C@H]1C(=O)O,IC50,36900.0,nM,4.43,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL24878,CC1(C)[C@H](C(=O)O)N2C(=O)[C@H](CO)[C@H]2S1(=O)=O,IC50,200000.0,nM,,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL277857,CC1(C)S[C@@H]2[C@@H](CO)C(=O)N2[C@H]1C(=O)O,IC50,200000.0,nM,,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL26275,CC1(C)[C@H](C(=O)O)N2C(=O)[C@H](S)[C@H]2S1(=O)=O,IC50,7600.0,nM,5.12,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL277225,CC1(C)S[C@@H]2[C@@H](CS)C(=O)N2[C@H]1C(=O)O,IC50,10900.0,nM,4.96,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL24235,CC1(C)[C@H](C(=O)O)N2C(=O)[C@H](CS)[C@H]2S1(=O)=O,IC50,300.0,nM,6.52,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL25766,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](CS)[C@H]2S1(=O)=O,IC50,100.0,nM,7.0,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL25613,CC1(C)S[C@@H]2[C@H](CO)C(=O)N2[C@H]1C(=O)O,IC50,200000.0,nM,,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL416561,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O,IC50,72300.0,nM,4.14,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL284104,O=C(O)c1cccc(C(=O)O)n1,IC50,7800.0,nM,5.11,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL24351,CC1(C)S[C@@H]2[C@H](S)C(=O)N2[C@H]1C(=O)O,IC50,41400.0,nM,4.38,,CHEMBL712892,8,CHEMBL3326,CHEMBL1148429,7zo2,P52700
CHEMBL6461,C[C@]1(/C=C/C#N)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],IC50,24000.0,nM,4.62,,CHEMBL876649,9,CHEMBL3326,CHEMBL1129642,7zo2,P52700
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,4000000.0,nM,,,CHEMBL876649,9,CHEMBL3326,CHEMBL1129642,7zo2,P52700
CHEMBL3234716,COC(=O)c1c(O)ccc2nc3c(C(=O)O)cccc3nc12,IC50,1000.0,nM,6.0,,CHEMBL3241394,9,CHEMBL3326,CHEMBL3232874,7zo2,P52700
CHEMBL3234717,COC(=O)c1cc(SCC(NC(C)=O)C(=O)OC)cc2nc3c(C(=O)O)cccc3nc12,IC50,1000.0,nM,6.0,,CHEMBL3241394,9,CHEMBL3326,CHEMBL3232874,7zo2,P52700
CHEMBL3586474,O=C(O)CSC(=O)CNC(=O)Cc1cccs1,IC50,840.0,nM,6.08,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586474,O=C(O)CSC(=O)CNC(=O)Cc1cccs1,IC50,840.0,nM,6.08,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586475,C[C@H](NC(=O)Cc1cccs1)C(=O)SCC(=O)O,IC50,910.0,nM,6.04,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586475,C[C@H](NC(=O)Cc1cccs1)C(=O)SCC(=O)O,IC50,910.0,nM,6.04,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586476,CC(C)[C@H](NC(=O)Cc1cccs1)C(=O)SCC(=O)O,IC50,450.0,nM,6.35,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586476,CC(C)[C@H](NC(=O)Cc1cccs1)C(=O)SCC(=O)O,IC50,450.0,nM,6.35,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586477,CC(C)C[C@H](NC(=O)Cc1cccs1)C(=O)SCC(=O)O,IC50,69.0,nM,7.16,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586477,CC(C)C[C@H](NC(=O)Cc1cccs1)C(=O)SCC(=O)O,IC50,69.0,nM,7.16,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586478,CSCC[C@H](NC(=O)Cc1cccs1)C(=O)SCC(=O)O,IC50,18.0,nM,7.75,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586478,CSCC[C@H](NC(=O)Cc1cccs1)C(=O)SCC(=O)O,IC50,18.0,nM,7.75,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586479,O=C(O)CSC(=O)[C@H](CO)NC(=O)Cc1cccs1,IC50,1490.0,nM,5.83,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586479,O=C(O)CSC(=O)[C@H](CO)NC(=O)Cc1cccs1,IC50,1490.0,nM,5.83,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586480,O=C(O)CSC(=O)[C@H](Cc1ccccc1)NC(=O)Cc1cccs1,IC50,2900.0,nM,5.54,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586480,O=C(O)CSC(=O)[C@H](Cc1ccccc1)NC(=O)Cc1cccs1,IC50,2900.0,nM,5.54,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3585360,O=C(O)CSC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)Cc1cccs1,IC50,290.0,nM,6.54,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3585360,O=C(O)CSC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)Cc1cccs1,IC50,290.0,nM,6.54,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586481,O=C(O)CSC(=O)[C@H](CCCCNC(=O)Cc1cccs1)NC(=O)Cc1cccs1,IC50,1080.0,nM,5.97,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586481,O=C(O)CSC(=O)[C@H](CCCCNC(=O)Cc1cccs1)NC(=O)Cc1cccs1,IC50,1080.0,nM,5.97,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586482,O=C(O)CSC(=O)[C@@H]1CCCN1C(=O)Cc1cccs1,IC50,450.0,nM,6.35,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3586482,O=C(O)CSC(=O)[C@@H]1CCCN1C(=O)Cc1cccs1,IC50,450.0,nM,6.35,,CHEMBL3587107,9,CHEMBL3326,CHEMBL3585285,7zo2,P52700
CHEMBL3577963,O=C(CSc1nnc(-c2ccccc2C(=O)O)[nH]1)Nc1nc2ccccc2s1,IC50,32000.0,nM,4.5,,CHEMBL5331289,9,CHEMBL3326,CHEMBL5331045,7zo2,P52700
CHEMBL385485,O=C(O)c1cc(O)cc(C(=O)NC(CCS)C(=O)N[C@H](Cc2ccccc2)C(=O)O)c1,Ki,140.0,nM,6.85,,CHEMBL864291,9,CHEMBL3326,CHEMBL1146889,7zo2,P52700
