molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5179070,CN(C(=O)Cn1nc(C(F)(F)F)c2c1CCCC2)c1ccccc1,IC50,11000.0,nM,4.96,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5185248,CN(C(=O)Cn1nc2c(c1C(F)(F)F)CCCC2)c1ccccc1,IC50,170.0,nM,6.77,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5176451,CN(C(=O)Cn1nc2c(c1C(F)(F)F)CNCC2)c1ccccc1,IC50,100000.0,nM,,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5188372,CN(C(=O)Cn1nc2c(c1C(F)(F)F)C(=O)NCC2)c1ccccc1,IC50,100000.0,nM,,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5181666,CN(C(=O)Cn1nc2c(c1C(F)(F)F)C(O)CC2)c1ccccc1,IC50,100000.0,nM,,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5173015,CN(C(=O)Cn1nc2c(c1C(F)(F)F)CS(=O)(=O)C2)c1ccccc1,IC50,43000.0,nM,4.37,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5190448,CN(C(=O)Cn1nc2c(c1C(F)(F)F)CCC2)c1ccccc1,IC50,710.0,nM,6.15,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5188985,Cc1c2c(nn1CC(=O)N(C)c1ccccc1)CCC2,IC50,10000.0,nM,5.0,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5175626,CC1CCc2nn(CC(=O)N(C)c3ccccc3)c(C(F)(F)F)c21,IC50,240.0,nM,6.62,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5188740,CC1Cc2nn(CC(=O)N(C)c3ccccc3)c(C(F)(F)F)c2C1,IC50,950.0,nM,6.02,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5199017,CN(C(=O)Cn1nc2c(c1C(F)(F)F)C(C)(C)CC2)c1ccccc1,IC50,520.0,nM,6.28,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5170248,CN(C(=O)Cn1nc2c(c1C(F)(F)F)CC(C)(C)C2)c1ccccc1,IC50,560.0,nM,6.25,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5181359,CN(C(=O)Cn1nc2c(c1C(F)(F)F)CCC2(C)C)c1ccccc1,IC50,2300.0,nM,5.64,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5195920,CN(C(=S)Cn1nc2c(c1C(F)(F)F)CCC2)c1ccccc1,IC50,17.0,nM,7.77,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5195920,CN(C(=S)Cn1nc2c(c1C(F)(F)F)CCC2)c1ccccc1,IC50,17.0,nM,7.77,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5195920,CN(C(=S)Cn1nc2c(c1C(F)(F)F)CCC2)c1ccccc1,IC50,17.0,nM,7.77,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5195920,CN(C(=S)Cn1nc2c(c1C(F)(F)F)CCC2)c1ccccc1,IC50,17.0,nM,7.77,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5195920,CN(C(=S)Cn1nc2c(c1C(F)(F)F)CCC2)c1ccccc1,IC50,17.0,nM,7.77,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5195920,CN(C(=S)Cn1nc2c(c1C(F)(F)F)CCC2)c1ccccc1,IC50,17.0,nM,7.77,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5203967,CN(C(=O)Cc1ccc(C(F)(F)F)cc1C(F)(F)F)c1ccccc1,IC50,14.0,nM,7.85,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5203967,CN(C(=O)Cc1ccc(C(F)(F)F)cc1C(F)(F)F)c1ccccc1,IC50,14.0,nM,7.85,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5195660,CN(C(=O)Cc1ccccc1C(F)(F)F)c1ccccc1,IC50,9200.0,nM,5.04,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5200543,CN(C(=O)Cc1ccc(Cl)cc1C(F)(F)F)c1ccccc1,IC50,121.0,nM,6.92,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5178606,CN(C(=O)Cc1ccc(C2CC2)cc1C(F)(F)F)c1ccccc1,IC50,40.0,nM,7.4,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5181730,CN(C(=O)Cc1ncc(C(F)(F)F)cc1C(F)(F)F)c1ccccc1,IC50,65.0,nM,7.19,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5208584,CN(C(=O)Cn1c(C(F)(F)F)cc(C(F)(F)F)cc1=O)c1ccccc1,IC50,58.0,nM,7.24,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5190798,CN(C(=O)Cc1ccc(C(F)(F)F)cc1C(F)(F)F)c1ccccn1,IC50,2700.0,nM,5.57,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5202303,CN(C(=O)Cc1ccc(C(F)(F)F)cc1C(F)(F)F)c1cccnc1,IC50,3200.0,nM,5.5,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5205344,CN(C(=O)Cc1ccc(C(F)(F)F)cc1C(F)(F)F)c1ccncc1,IC50,2200.0,nM,5.66,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
CHEMBL5185359,CN(C(=O)Cc1ccc(C(F)(F)F)cc1C(F)(F)F)c1ccc(F)cc1,IC50,17.0,nM,7.77,,CHEMBL5111529,9,CHEMBL6025,CHEMBL5108047,7zx1,O75417
