molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL32350,Cc1ccc2c(c1)c1c3n2CCNC3CCC1,IC50,44000.0,nM,4.36,,CHEMBL4423912,9,CHEMBL4523435,CHEMBL4422642,8a0v,Q99594
CHEMBL242708,O=c1cc(CO)oc(C(Nc2ccccc2)c2ccccc2)c1O,IC50,2600.0,nM,5.58,,CHEMBL4670827,9,CHEMBL4523435,CHEMBL4665803,8a0v,Q99594
CHEMBL5394226,N#CN1Cc2cccc(Nc3cccc(C(F)(F)F)c3)c2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5394226,N#CN1Cc2cccc(Nc3cccc(C(F)(F)F)c3)c2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5405832,COc1ccc2c(c1Nc1cccc(C(F)(F)F)c1)CN(C#N)C2,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5434817,N#CN1Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5434933,N#CN1Cc2cccc(Nc3ccccc3C(F)(F)F)c2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5432067,N#CN1Cc2ccc(F)c(Nc3cccc(C(F)(F)F)c3)c2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5424157,N#CN1CC2CCCC(Nc3cccc(C(F)(F)F)c3)C2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5424157,N#CN1CC2CCCC(Nc3cccc(C(F)(F)F)c3)C2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5432514,N#CN1CC2CCCC(Nc3ccc(C(F)(F)F)cc3)C2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5431797,N#CN1CC2CCCC(Nc3ccccc3C(F)(F)F)C2C1,IC50,,,,Not Active,CHEMBL5317167,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5394226,N#CN1Cc2cccc(Nc3cccc(C(F)(F)F)c3)c2C1,IC50,2200.0,nM,5.66,,CHEMBL5317184,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5394226,N#CN1Cc2cccc(Nc3cccc(C(F)(F)F)c3)c2C1,IC50,2200.0,nM,5.66,,CHEMBL5317184,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5424157,N#CN1CC2CCCC(Nc3cccc(C(F)(F)F)c3)C2C1,IC50,1200.0,nM,5.92,,CHEMBL5317184,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5424157,N#CN1CC2CCCC(Nc3cccc(C(F)(F)F)c3)C2C1,IC50,1200.0,nM,5.92,,CHEMBL5317184,9,CHEMBL4523435,CHEMBL5316282,8a0v,Q99594
CHEMBL5438096,C=CC(=O)Nc1cc(/C=C/[C@H]2CC[C@H](C(F)(F)F)CC2)c(OC)nn1,IC50,100.0,nM,,,CHEMBL5360850,9,CHEMBL4523435,CHEMBL5360521,8a0v,Q99594
CHEMBL5409535,C=CC(=O)Nc1cc(/C=C/C2CCC(F)(F)CC2)c(C#N)cn1,IC50,100.0,nM,,,CHEMBL5360850,9,CHEMBL4523435,CHEMBL5360521,8a0v,Q99594
CHEMBL5430925,C=CC(=O)Nc1cc(/C=C/C2CCC(F)(F)CC2)c2c(c1F)CCO2,IC50,100.0,nM,,,CHEMBL5360850,9,CHEMBL4523435,CHEMBL5360521,8a0v,Q99594
CHEMBL5428462,C=CC(=O)N1CCC(CCOc2ccccc2)CC1,IC50,610.0,nM,6.21,,CHEMBL5360855,9,CHEMBL4523435,CHEMBL5360521,8a0v,Q99594
