molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL570126,Cc1c[nH]c2ncnc(N3CCN(/C(=N/C#N)Nc4cccc(Br)c4)[C@@H](C)C3)c12,IC50,0.5,nM,9.3,,CHEMBL1036967,8,CHEMBL3836,CHEMBL1154624,8aau,P53667
CHEMBL565452,Cc1c[nH]c2ncnc(N3CCN(/C(=N/C#N)Nc4ccc(F)c(Br)c4)[C@@H](C)C3)c12,IC50,3.7,nM,8.43,,CHEMBL1036967,8,CHEMBL3836,CHEMBL1154624,8aau,P53667
CHEMBL570820,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4ccc(F)c(Br)c4)[C@@H](C)C3)c12,IC50,6.6,nM,8.18,,CHEMBL1036967,8,CHEMBL3836,CHEMBL1154624,8aau,P53667
CHEMBL570116,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(OC(=O)N(C)C)c4)[C@@H](C)C3)c12,IC50,3.2,nM,8.49,,CHEMBL1036967,8,CHEMBL3836,CHEMBL1154624,8aau,P53667
CHEMBL570116,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(OC(=O)N(C)C)c4)[C@@H](C)C3)c12,IC50,3.2,nM,8.49,,CHEMBL1036967,8,CHEMBL3836,CHEMBL1154624,8aau,P53667
CHEMBL570116,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(OC(=O)N(C)C)c4)[C@@H](C)C3)c12,IC50,3.2,nM,8.49,,CHEMBL1036967,8,CHEMBL3836,CHEMBL1154624,8aau,P53667
CHEMBL570116,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(OC(=O)N(C)C)c4)[C@@H](C)C3)c12,IC50,3.2,nM,8.49,,CHEMBL1036967,8,CHEMBL3836,CHEMBL1154624,8aau,P53667
CHEMBL590109,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,IC50,4700.0,nM,5.33,,CHEMBL1073279,8,CHEMBL3836,CHEMBL1153138,8aau,P53667
CHEMBL590109,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,IC50,4700.0,nM,5.33,,CHEMBL1073279,8,CHEMBL3836,CHEMBL1153138,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,114.0,nM,6.94,,CHEMBL1244587,8,CHEMBL3836,CHEMBL1240341,8aau,P53667
CHEMBL1258633,CC(C)Nc1ncc(-c2cc(-c3ccccc3Cl)nc(-c3ccccn3)n2)s1,IC50,252.0,nM,6.6,,CHEMBL1259853,8,CHEMBL3836,CHEMBL1255531,8aau,P53667
CHEMBL1258633,CC(C)Nc1ncc(-c2cc(-c3ccccc3Cl)nc(-c3ccccn3)n2)s1,IC50,252.0,nM,6.6,,CHEMBL1259853,8,CHEMBL3836,CHEMBL1255531,8aau,P53667
CHEMBL1258976,CC(C)Nc1ncc(-c2cc(-c3ccccc3Cl)nc(NCCN(C)C)n2)s1,IC50,4.01,nM,8.4,,CHEMBL1259853,8,CHEMBL3836,CHEMBL1255531,8aau,P53667
CHEMBL1290072,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1,IC50,759000.0,nM,,,CHEMBL1292136,9,CHEMBL3836,CHEMBL1287713,8aau,P53667
CHEMBL207012,NC(=O)c1sc2ncccc2c1N,IC50,37000.0,nM,4.43,,CHEMBL1839797,8,CHEMBL3836,CHEMBL1833960,8aau,P53667
CHEMBL207012,NC(=O)c1sc2ncccc2c1N,IC50,37000.0,nM,4.43,,CHEMBL1839797,8,CHEMBL3836,CHEMBL1833960,8aau,P53667
CHEMBL207012,NC(=O)c1sc2ncccc2c1N,IC50,37000.0,nM,4.43,,CHEMBL1839797,8,CHEMBL3836,CHEMBL1833960,8aau,P53667
CHEMBL207012,NC(=O)c1sc2ncccc2c1N,IC50,37000.0,nM,4.43,,CHEMBL1839797,8,CHEMBL3836,CHEMBL1833960,8aau,P53667
CHEMBL211002,NC(=O)c1sc2ccccc2c1N,IC50,33000.0,nM,4.48,,CHEMBL1839797,8,CHEMBL3836,CHEMBL1833960,8aau,P53667
