molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL318782,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,IC50,280.0,nM,6.55,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL271826,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(O)C1O,IC50,1500.0,nM,5.82,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL272225,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(O)C1Br,IC50,512.0,nM,6.29,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL441441,CC1(C)CCC2=C(O1)C(=O)c1ccccc1C2=O,IC50,4340.0,nM,5.36,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL258816,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(SCc2ccccc2)C1O,IC50,2120.0,nM,5.67,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL258816,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(SCc2ccccc2)C1O,IC50,2120.0,nM,5.67,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL258816,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(SCc2ccccc2)C1O,IC50,3450.0,nM,5.46,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL258816,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(SCc2ccccc2)C1O,IC50,3450.0,nM,5.46,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL258817,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(OCc2ccccc2)C1O,IC50,1090.0,nM,5.96,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,3960.0,nM,5.4,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,3960.0,nM,5.4,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,3960.0,nM,5.4,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,976.0,nM,6.01,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,976.0,nM,6.01,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL443067,COC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,976.0,nM,6.01,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,IC50,361.0,nM,6.44,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,IC50,361.0,nM,6.44,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,IC50,361.0,nM,6.44,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,IC50,1100.0,nM,5.96,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,IC50,1100.0,nM,5.96,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL271827,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(N2CCOCC2)C1O,IC50,1100.0,nM,5.96,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL260961,CCCCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,82.0,nM,7.09,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL260961,CCCCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,82.0,nM,7.09,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL260961,CCCCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,82.0,nM,7.09,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL261179,CCCCN[C@H]1C2=C(OC(C)(C)[C@H]1O)C(=O)c1ccccc1C2=O,IC50,130.0,nM,6.89,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL261178,C=CCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,186.0,nM,6.73,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL261178,C=CCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,186.0,nM,6.73,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL261178,C=CCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,186.0,nM,6.73,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL261178,C=CCNC1C2=C(OC(C)(C)C1O)C(=O)c1ccccc1C2=O,IC50,186.0,nM,6.73,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,IC50,252.0,nM,6.6,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,IC50,252.0,nM,6.6,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,IC50,252.0,nM,6.6,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,IC50,252.0,nM,6.6,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,IC50,55.0,nM,7.26,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
CHEMBL407954,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(NCc2ccccc2)C1O,IC50,55.0,nM,7.26,,CHEMBL935410,9,CHEMBL4685,CHEMBL1144666,8abx,P14902
