molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL332551,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1,IC50,10000.0,nM,,,CHEMBL830869,9,CHEMBL3629,CHEMBL1137167,8ae7,P68400
CHEMBL361708,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,IC50,7000.0,nM,5.16,,CHEMBL830869,9,CHEMBL3629,CHEMBL1137167,8ae7,P68400
CHEMBL255465,NC1=N/C(=C2/CCNC(=O)c3[nH]ccc32)C(=O)N1,IC50,,nM,,Not Determined,CHEMBL832937,9,CHEMBL3629,CHEMBL1137167,8ae7,P68400
CHEMBL410659,Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,IC50,10000.0,nM,,,CHEMBL939035,8,CHEMBL3629,CHEMBL1143953,8ae7,P68400
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,IC50,100000.0,nM,,,CHEMBL939371,8,CHEMBL3629,CHEMBL1145498,8ae7,P68400
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,IC50,100000.0,nM,,,CHEMBL939371,8,CHEMBL3629,CHEMBL1145498,8ae7,P68400
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,IC50,100000.0,nM,,,CHEMBL936915,8,CHEMBL3629,CHEMBL1145498,8ae7,P68400
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,IC50,100000.0,nM,,,CHEMBL936915,8,CHEMBL3629,CHEMBL1145498,8ae7,P68400
CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,IC50,20000.0,nM,4.7,,CHEMBL936915,8,CHEMBL3629,CHEMBL1145498,8ae7,P68400
CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,IC50,20000.0,nM,4.7,,CHEMBL936915,8,CHEMBL3629,CHEMBL1145498,8ae7,P68400
CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,IC50,20500.0,nM,4.69,,CHEMBL927034,8,CHEMBL3629,CHEMBL1147076,8ae7,P68400
CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,IC50,20500.0,nM,4.69,,CHEMBL927034,8,CHEMBL3629,CHEMBL1147076,8ae7,P68400
CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,IC50,20500.0,nM,4.69,,CHEMBL927034,8,CHEMBL3629,CHEMBL1147076,8ae7,P68400
CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,IC50,20500.0,nM,4.69,,CHEMBL927034,8,CHEMBL3629,CHEMBL1147076,8ae7,P68400
CHEMBL489344,CNc1nccc(-c2nc(C3CCNCC3)[nH]c2-c2cccc(C(F)(F)F)c2)n1,IC50,100000.0,nM,,,CHEMBL1004021,9,CHEMBL3629,CHEMBL1156427,8ae7,P68400
CHEMBL523938,CC1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)CC1,IC50,100000.0,nM,,,CHEMBL1004021,9,CHEMBL3629,CHEMBL1156427,8ae7,P68400
CHEMBL493937,CN1CCCN(c2cncc(-c3cccc(/C=C/C(=O)O)c3)n2)CC1,IC50,663.0,nM,6.18,,CHEMBL958316,8,CHEMBL3629,CHEMBL1153342,8ae7,P68400
CHEMBL519982,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,IC50,2.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL521470,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,IC50,10.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL519395,COc1cc(O)c(C(=O)O)c(C2=C(C)C[C@@H](O)C2=O)c1,IC50,10.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL408995,COc1cc(O)c2c(c1)C1(OC2=O)C(C)=CC(=O)C1O,IC50,10.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL507058,COc1cc(O)c2c(c1)-c1cc(O)c(O)cc1COC2=O,IC50,10.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL483532,Cc1cc(O)c(O)cc1-c1cc(O)cc(O)c1C(=O)O,IC50,10.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL483531,COc1cc(O)c(C(=O)O)c(-c2cc(O)c(O)cc2C)c1,IC50,10.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL520144,COc1cc(O)c2c(=O)oc3c(O)c(O)cc(C)c3c2c1,IC50,10.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL483526,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,IC50,10.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL483525,Cc1cc(O)cc2oc(=O)c3c(O)cc(OS(=O)(=O)O)cc3c12,IC50,2.0,ug.mL-1,,,CHEMBL962879,8,CHEMBL3629,CHEMBL1157406,8ae7,P68400
CHEMBL453336,COc1cc(C2=C(c3cn(COCc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,IC50,93000.0,nM,4.03,,CHEMBL957990,9,CHEMBL3629,CHEMBL1157465,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,500.0,nM,6.3,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,500.0,nM,6.3,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,500.0,nM,6.3,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,500.0,nM,6.3,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,500.0,nM,6.3,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,500.0,nM,6.3,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,500.0,nM,6.3,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,500.0,nM,6.3,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL451155,OCCn1nnc2c(Br)c(Br)c(Br)c(Br)c21,IC50,9250.0,nM,5.03,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL456634,OCCCn1nnc2c(Br)c(Br)c(Br)c(Br)c21,IC50,320.0,nM,6.5,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL459346,OCCCn1nc2c(Br)c(Br)c(Br)c(Br)c2n1,IC50,340.0,nM,6.47,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL459343,O=P(O)(O)OCCCn1nc2c(Br)c(Br)c(Br)c(Br)c2n1,IC50,2200.0,nM,5.66,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL459345,CN1CCN(CCCn2nnc3c(Br)c(Br)c(Br)c(Br)c32)CC1,IC50,11200.0,nM,4.95,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL512747,CN1CCN(CCCn2nc3c(Br)c(Br)c(Br)c(Br)c3n2)CC1,IC50,7300.0,nM,5.14,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL459577,OCCCCn1nc2c(Br)c(Br)c(Br)c(Br)c2n1,IC50,1730.0,nM,5.76,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL373937,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,IC50,1300.0,nM,5.89,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL373937,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,IC50,1300.0,nM,5.89,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL373937,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,IC50,1300.0,nM,5.89,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL373937,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,IC50,1300.0,nM,5.89,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL373937,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,IC50,1300.0,nM,5.89,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL373937,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,IC50,1300.0,nM,5.89,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL373937,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,IC50,1300.0,nM,5.89,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL453937,OCCCn1cnc2c(Br)c(Br)c(Br)c(Br)c21,IC50,540.0,nM,6.27,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL502728,ClCCCn1cnc2c(Br)c(Br)c(Br)c(Br)c21,IC50,2900.0,nM,5.54,,CHEMBL1024749,9,CHEMBL3629,CHEMBL1152724,8ae7,P68400
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,IC50,40.0,nM,7.4,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,IC50,40.0,nM,7.4,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL375530,OC[C@H]1O[C@@H](n2cnc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,IC50,13000.0,nM,4.89,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL375530,OC[C@H]1O[C@@H](n2cnc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,IC50,13000.0,nM,4.89,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL92361,O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,IC50,390.0,nM,6.41,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL92361,O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,IC50,390.0,nM,6.41,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL92361,O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,IC50,390.0,nM,6.41,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,900.0,nM,6.05,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,900.0,nM,6.05,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,900.0,nM,6.05,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,900.0,nM,6.05,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,IC50,900.0,nM,6.05,,CHEMBL974405,9,CHEMBL3629,CHEMBL1136907,8ae7,P68400
