molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,31622.78,nM,,,CHEMBL3383407,9,CHEMBL3085621,CHEMBL3351476,8ag2,Q12830
CHEMBL3959584,CC(=O)N1CCc2[nH]nc(Nc3ccccc3)c2C1,IC50,20000.0,nM,,,CHEMBL3864407,9,CHEMBL3085621,CHEMBL3864133,8ag2,Q12830
CHEMBL3968533,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@@H]2CCOC2)C1,IC50,20000.0,nM,,,CHEMBL3864407,9,CHEMBL3085621,CHEMBL3864133,8ag2,Q12830
CHEMBL4059509,CCc1cc2cc(NS(=O)(=O)c3ccc(C#N)cc3)ccc2n(CC)c1=O,IC50,20000.0,nM,,,CHEMBL4053075,9,CHEMBL3085621,CHEMBL4052588,8ag2,Q12830
CHEMBL4059509,CCc1cc2cc(NS(=O)(=O)c3ccc(C#N)cc3)ccc2n(CC)c1=O,IC50,20000.0,nM,,,CHEMBL4053075,9,CHEMBL3085621,CHEMBL4052588,8ag2,Q12830
CHEMBL4097025,CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,IC50,20000.0,nM,,,CHEMBL4058607,9,CHEMBL3085621,CHEMBL4052814,8ag2,Q12830
CHEMBL4076748,CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,IC50,20000.0,nM,,,CHEMBL4058607,9,CHEMBL3085621,CHEMBL4052814,8ag2,Q12830
CHEMBL4583297,CC1(C2CC2)NC(=O)N(CC(=O)Nc2ccc(Br)c(S(=O)(=O)N3CCCCC3)c2)C1=O,IC50,63095.73,nM,4.2,,CHEMBL4313204,9,CHEMBL3085621,CHEMBL4311956,8ag2,Q12830
CHEMBL3785432,CCCS(=O)(=O)c1nc(NC2CC2)cc(-c2ccc3c(ccn3C3CC(C)(C)NC(C)(C)C3)c2)n1,IC50,1461.0,nM,5.83,,CHEMBL4650001,9,CHEMBL3085621,CHEMBL4649986,8ag2,Q12830
CHEMBL4780530,Cc1nnc2n1-c1ccc(-c3ccc(N)nc3)cc1N(c1ccc(Cl)cc1)C[C@H]2C,IC50,15000.0,nM,,,CHEMBL4717005,9,CHEMBL3085621,CHEMBL4715706,8ag2,Q12830
CHEMBL4873093,CC1=C(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)NC2C=CC(c3cnn(C4CC4)c3)=CN2C1=O,IC50,30.0,nM,7.52,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4873093,CC1=C(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)NC2C=CC(c3cnn(C4CC4)c3)=CN2C1=O,IC50,30.0,nM,7.52,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4873093,CC1=C(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)NC2C=CC(c3cnn(C4CC4)c3)=CN2C1=O,IC50,30.0,nM,7.52,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,IC50,350.0,nM,6.46,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,IC50,350.0,nM,6.46,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,IC50,350.0,nM,6.46,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,IC50,350.0,nM,6.46,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,IC50,350.0,nM,6.46,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,IC50,350.0,nM,6.46,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,IC50,350.0,nM,6.46,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,IC50,350.0,nM,6.46,,CHEMBL4823109,9,CHEMBL3085621,CHEMBL4819152,8ag2,Q12830
