molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4464378,C[C@@H]1O[C@H](CNC(=O)c2cc3ccccc3s2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,4280.0,nM,5.37,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4464378,C[C@@H]1O[C@H](CNC(=O)c2cc3ccccc3s2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,4280.0,nM,5.37,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4548491,C[C@@H]1O[C@H](CNC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,8730.0,nM,5.06,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4548491,C[C@@H]1O[C@H](CNC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,8730.0,nM,5.06,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4448991,C[C@@H]1O[C@H](CNC(=O)c2cc3ccccc3o2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,10200.0,nM,4.99,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4448991,C[C@@H]1O[C@H](CNC(=O)c2cc3ccccc3o2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,10200.0,nM,4.99,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4547258,C[C@@H]1O[C@H](CNC(=O)c2cc3ccccc3[nH]2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,7930.0,nM,5.1,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4547258,C[C@@H]1O[C@H](CNC(=O)c2cc3ccccc3[nH]2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,7930.0,nM,5.1,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4574714,C[C@@H]1O[C@H](CNC(=O)c2csc(-c3ccccc3)n2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,12300.0,nM,4.91,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4574714,C[C@@H]1O[C@H](CNC(=O)c2csc(-c3ccccc3)n2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,12300.0,nM,4.91,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4442822,C[C@@H]1O[C@H](CNS(=O)(=O)c2ccco2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,3150.0,nM,5.5,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4442822,C[C@@H]1O[C@H](CNS(=O)(=O)c2ccco2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,3150.0,nM,5.5,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4462845,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)o1,IC50,3100.0,nM,5.51,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4462845,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)o1,IC50,3100.0,nM,5.51,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4457951,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C(F)(F)F)o1,IC50,3470.0,nM,5.46,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4457951,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C(F)(F)F)o1,IC50,3470.0,nM,5.46,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4434928,Cc1oncc1S(=O)(=O)NC[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,IC50,2060.0,nM,5.69,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4434928,Cc1oncc1S(=O)(=O)NC[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,IC50,2060.0,nM,5.69,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4468528,Cc1nn(C)cc1S(=O)(=O)NC[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,IC50,2420.0,nM,5.62,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4468528,Cc1nn(C)cc1S(=O)(=O)NC[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,IC50,2420.0,nM,5.62,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4585771,C[C@@H]1O[C@H](CNS(=O)(=O)c2ccn(C)n2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,7010.0,nM,5.15,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4585771,C[C@@H]1O[C@H](CNS(=O)(=O)c2ccn(C)n2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,7010.0,nM,5.15,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4584039,C[C@@H]1O[C@H](CNS(=O)(=O)c2cnn(C)c2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,5880.0,nM,5.23,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4584039,C[C@@H]1O[C@H](CNS(=O)(=O)c2cnn(C)c2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,5880.0,nM,5.23,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4593306,C[C@@H]1O[C@H](CNS(=O)(=O)c2ccsc2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,1850.0,nM,5.73,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4593306,C[C@@H]1O[C@H](CNS(=O)(=O)c2ccsc2)[C@@H](O)[C@H](O)[C@@H]1O,IC50,1850.0,nM,5.73,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4574479,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)s1,IC50,1870.0,nM,5.73,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4574479,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)s1,IC50,1870.0,nM,5.73,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4574479,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)s1,IC50,1870.0,nM,5.73,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4574479,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)s1,IC50,1870.0,nM,5.73,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4574479,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)s1,IC50,1870.0,nM,5.73,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4574479,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)s1,IC50,1870.0,nM,5.73,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4466447,Cc1ccc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)s1,IC50,3530.0,nM,5.45,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4466447,Cc1ccc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)s1,IC50,3530.0,nM,5.45,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4551638,Cc1csc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c1,IC50,2550.0,nM,5.59,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4551638,Cc1csc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c1,IC50,2550.0,nM,5.59,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4461208,Cc1ccsc1S(=O)(=O)NC[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,IC50,1320.0,nM,5.88,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4461208,Cc1ccsc1S(=O)(=O)NC[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,IC50,1320.0,nM,5.88,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4442247,CCc1ccc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)s1,IC50,4020.0,nM,5.4,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
CHEMBL4442247,CCc1ccc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)s1,IC50,4020.0,nM,5.4,,CHEMBL4323176,9,CHEMBL4523938,CHEMBL4321818,8aij,Q9HYN5
