molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1254035,CC(=[Se])NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,IC50,285000.0,nM,,,CHEMBL2211908,9,CHEMBL2163182,CHEMBL2203212,8ake,Q8N6T7
CHEMBL504711,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)N)C(=O)O,IC50,47000.0,nM,4.33,,CHEMBL2211908,9,CHEMBL2163182,CHEMBL2203212,8ake,Q8N6T7
CHEMBL447677,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)O,IC50,78000.0,nM,4.11,,CHEMBL2211908,9,CHEMBL2163182,CHEMBL2203212,8ake,Q8N6T7
CHEMBL3288034,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Oc4cccnc4)cc3)ccc2[nH]1,IC50,106000.0,nM,,,CHEMBL3295497,9,CHEMBL2163182,CHEMBL3286264,8ake,Q8N6T7
CHEMBL3288034,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Oc4cccnc4)cc3)ccc2[nH]1,IC50,106000.0,nM,,,CHEMBL3295497,9,CHEMBL2163182,CHEMBL3286264,8ake,Q8N6T7
CHEMBL3288034,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Oc4cccnc4)cc3)ccc2[nH]1,IC50,106000.0,nM,,,CHEMBL3295497,9,CHEMBL2163182,CHEMBL3286264,8ake,Q8N6T7
CHEMBL1588664,O=C(Nc1ccc(O)c(C(=O)O)c1)c1cccc(NC(=O)c2ccco2)c1,IC50,89000.0,nM,4.05,,CHEMBL3295497,9,CHEMBL2163182,CHEMBL3286264,8ake,Q8N6T7
CHEMBL1588664,O=C(Nc1ccc(O)c(C(=O)O)c1)c1cccc(NC(=O)c2ccco2)c1,IC50,89000.0,nM,4.05,,CHEMBL3295497,9,CHEMBL2163182,CHEMBL3286264,8ake,Q8N6T7
CHEMBL3288043,O=C(NCc1nc(-c2cccnc2)n[nH]1)c1cnccn1,IC50,1339000.0,nM,,,CHEMBL3295497,9,CHEMBL2163182,CHEMBL3286264,8ake,Q8N6T7
CHEMBL3288044,N=C(Nc1ccccc1)SC1CC(=O)N(c2ccc(C(=O)O)cc2)C1=O,IC50,181000.0,nM,,,CHEMBL3295497,9,CHEMBL2163182,CHEMBL3286264,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,184000.0,nM,,,CHEMBL3418054,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL1140,NC(=O)c1cccnc1,IC50,200000.0,nM,,,CHEMBL3418053,9,CHEMBL2163182,CHEMBL3414509,8ake,Q8N6T7
CHEMBL3601368,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)NCCC(=O)O)NC(=O)[C@H](CCCCNC(C)=O)NC(C)=O)C(N)=O,IC50,2400000.0,nM,,,CHEMBL3603107,9,CHEMBL2163182,CHEMBL3600344,8ake,Q8N6T7
CHEMBL3608311,CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(C)=O)C(N)=O,IC50,307000.0,nM,,,CHEMBL3610053,9,CHEMBL2163182,CHEMBL3608247,8ake,Q8N6T7
CHEMBL3288034,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Oc4cccnc4)cc3)ccc2[nH]1,IC50,106000.0,nM,,,CHEMBL3625953,9,CHEMBL2163182,CHEMBL3621196,8ake,Q8N6T7
CHEMBL3288034,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Oc4cccnc4)cc3)ccc2[nH]1,IC50,106000.0,nM,,,CHEMBL3625953,9,CHEMBL2163182,CHEMBL3621196,8ake,Q8N6T7
CHEMBL3288034,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Oc4cccnc4)cc3)ccc2[nH]1,IC50,106000.0,nM,,,CHEMBL3625953,9,CHEMBL2163182,CHEMBL3621196,8ake,Q8N6T7
CHEMBL3622695,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Cn4ccnc4)cc3)ccc2[nH]1,IC50,60000.0,nM,4.22,,CHEMBL3625953,9,CHEMBL2163182,CHEMBL3621196,8ake,Q8N6T7
CHEMBL3622695,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3ccc(Cn4ccnc4)cc3)ccc2[nH]1,IC50,60000.0,nM,4.22,,CHEMBL3625953,9,CHEMBL2163182,CHEMBL3621196,8ake,Q8N6T7
CHEMBL3622696,O=c1[nH]c(=O)c2cc(S(=O)(=O)Nc3cccc(CCc4ccncc4)c3)ccc2[nH]1,IC50,37000.0,nM,4.43,,CHEMBL3625953,9,CHEMBL2163182,CHEMBL3621196,8ake,Q8N6T7
