molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL131037,COc1ccc(OC)c2c1C(=O)C(Cl)=C(Cl)C2=O,IC50,1640.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1718737,Cn1c2ccccc2c2ccc3c(c21)C(=O)C=CC3=O,IC50,4590.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1464853,O=C1C(Cl)=C(N2CCCCC2)C(=O)C(Cl)=C1c1cnc(N2CCCCC2)s1,IC50,14110.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1700996,Cl.O=C1C(Br)=C(N2CCN(CCOCCO)CC2)C(=O)c2c(O)ccc(O)c21,IC50,7456.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1307207,NC(=O)C1CCN(C2=C(Cl)C(=O)c3ccccc3C2=O)CC1,IC50,22210.0,nM,,inactive,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL466853,CCN1/C(=C/C(C)=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],IC50,2202.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1706454,Cl.O=C1C(Cl)=C(N2CCN(CCO)CC2)C(=O)c2c(O)ccc(O)c21,IC50,76650.0,nM,,inactive,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1405652,Cc1ccc(C2Nc3cccc4cccc(c34)N2)s1,IC50,15290.0,nM,,inactive,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL278037,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,IC50,8884.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1972037,NS(=O)(=O)c1ccc(N/N=C/c2ccc(O)c(O)c2O)c([N+](=O)[O-])c1,IC50,11020.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1508982,CCN1/C(=C/c2ccc3cc(C)ccc3[n+]2C)Sc2ccc3sccc3c21.[I-],IC50,3120.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1524916,CN(C)c1ncc(C2=C(Cl)C(=O)C(N3CCCC3)=C(Cl)C2=O)s1,IC50,10730.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1407756,COc1ccc2c(c1)c1ccc3c(c1n2C)C(=O)C=CC3=O,IC50,10600.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1446929,CCC(=O)NC1=C(Cl)C(=O)C(NC(=O)CC)=C(Cl)C1=O,IC50,2789.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1336052,Brc1ccccc1C1Nc2cccc3cccc(c23)N1,IC50,2940.0,nM,,inactive,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1570587,O=C1C(Cl)=C(NC(=O)c2ccccc2)C(=O)C(Cl)=C1NC(=O)c1ccccc1,IC50,4971.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,IC50,1524.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL1489368,Cc1cccc2c1c1ccc3c(c1n2C)C(=O)C=CC3=O,IC50,7337.0,nM,,active,CHEMBL1794493,8,CHEMBL1795088,CHEMBL1201862,8as2,P49407
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,45.21,nM,7.34,,CHEMBL5650937,9,CHEMBL1795088,CHEMBL5649169,8as2,P49407
CHEMBL105460,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnnc2-c2ccccc2)c2ccccc2)CC1,IC50,335.0,nM,6.47,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL105606,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cncn2)c2ccccc2)CC1,IC50,28.0,nM,7.55,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL105570,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,IC50,10.0,nM,8.0,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL83338,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,IC50,35.0,nM,7.46,,CHEMBL873385,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL83338,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,IC50,35.0,nM,7.46,,CHEMBL873385,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL83338,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,IC50,35.0,nM,7.46,,CHEMBL873385,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL83338,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,IC50,35.0,nM,7.46,,CHEMBL873385,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL83338,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,IC50,35.0,nM,7.46,,CHEMBL873385,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL83338,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,IC50,35.0,nM,7.46,,CHEMBL873385,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL325357,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2ncc3ccccc32)c2ccccc2)CC1,IC50,15.0,nM,7.82,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL105572,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(Cl)c2Cl)c2ccccc2)CC1,IC50,16.0,nM,7.8,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL107750,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(CC#N)c2)c2ccccc2)CC1,IC50,15.0,nM,7.82,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL105659,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,IC50,112.0,nM,6.95,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL107380,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1,IC50,10.0,nM,8.0,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL107380,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1,IC50,10.0,nM,8.0,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL104793,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,IC50,7.0,nM,8.15,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL104793,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,IC50,7.0,nM,8.15,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL106231,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cc3ccccc3n2)c2ccccc2)CC1,IC50,27.0,nM,7.57,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
CHEMBL321539,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1,IC50,246.0,nM,6.61,,CHEMBL654653,8,CHEMBL274,CHEMBL1133867,8as2,P51681
