molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL1086580,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,IC50,4.0,nM,8.4,,CHEMBL1119029,8,CHEMBL6154,CHEMBL1155445,8b6m,Q9H2K2
CHEMBL2016633,O=C(Nc1cccc2cccnc12)c1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@H]2C=C[C@H]3C2)cc1,IC50,63.0,nM,7.2,,CHEMBL2020821,8,CHEMBL6154,CHEMBL2016557,8b6m,Q9H2K2
CHEMBL1552719,COc1ccc(-n2c(SCc3nc(-c4ccc(C)cc4)no3)nnc2-c2ccncc2)cc1,IC50,650.0,nM,6.19,,CHEMBL2020821,8,CHEMBL6154,CHEMBL2016557,8b6m,Q9H2K2
CHEMBL1552719,COc1ccc(-n2c(SCc3nc(-c4ccc(C)cc4)no3)nnc2-c2ccncc2)cc1,IC50,650.0,nM,6.19,,CHEMBL2020821,8,CHEMBL6154,CHEMBL2016557,8b6m,Q9H2K2
CHEMBL1552719,COc1ccc(-n2c(SCc3nc(-c4ccc(C)cc4)no3)nnc2-c2ccncc2)cc1,IC50,650.0,nM,6.19,,CHEMBL2020821,8,CHEMBL6154,CHEMBL2016557,8b6m,Q9H2K2
