molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL73416,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,IC50,2.7,nM,8.57,,CHEMBL677202,8,CHEMBL5112,CHEMBL1130521,8bgi,P31644
CHEMBL73416,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,IC50,2.7,nM,8.57,,CHEMBL677202,8,CHEMBL5112,CHEMBL1130521,8bgi,P31644
CHEMBL73416,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,IC50,4.6,nM,8.34,,CHEMBL677203,8,CHEMBL5112,CHEMBL1130521,8bgi,P31644
CHEMBL73416,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,IC50,4.6,nM,8.34,,CHEMBL677203,8,CHEMBL5112,CHEMBL1130521,8bgi,P31644
CHEMBL458144,CSC1SC(C(=O)c2ccc(Cl)cc2)C2CC(C)(C)CC(=O)C12,IC50,210.0,nM,6.68,,CHEMBL991889,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL204738,CC(=O)NC1N=C(c2ccccc2)c2ccccc2NC1=O,IC50,10000.0,nM,,,CHEMBL991889,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL73096,CN1C(=O)CN=C(c2ccccc2)c2ccccc21,IC50,10000.0,nM,,,CHEMBL991889,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL461924,Cc1nn(Cc2nc(-c3cccc([N+](=O)[O-])c3)cs2)c(C)c1Br,IC50,10000.0,nM,,,CHEMBL991889,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL461925,Nc1c(C(=O)c2ccc(Cl)cc2)sc2ccccc12,IC50,1000.0,nM,6.0,,CHEMBL991889,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL458317,CSc1nccc(-c2ccc(S(=O)(=O)Nc3ccc(Cl)cc3)s2)n1,IC50,10000.0,nM,,,CHEMBL991889,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL511684,CSC1SC(C(=O)c2ccc(Cl)cc2)C2CCCC(=O)C12,IC50,550.0,nM,6.26,,CHEMBL991889,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL458316,CSC1SC(C(=O)c2cccc([N+](=O)[O-])c2)C2CC(C)(C)CC(=O)C12,IC50,10000.0,nM,,,CHEMBL991889,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL3652869,CC1=NN=C(c2cc3ccccc3s2)c2cc3oc(=O)[nH]c3cc2C1,IC50,130.0,nM,6.89,256755,CHEMBL3705380,9,CHEMBL5112,CHEMBL3639360,8bgi,P31644
CHEMBL3652870,CC1=NN=C(c2sc3cccc(C(F)(F)F)c3c2Cl)c2cc3oc(=O)[nH]c3cc2C1,IC50,250.0,nM,6.6,256756,CHEMBL3705380,9,CHEMBL5112,CHEMBL3639360,8bgi,P31644
CHEMBL3652871,CC1=NN=C(c2cc3c(F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1,IC50,200.0,nM,6.7,256757,CHEMBL3705380,9,CHEMBL5112,CHEMBL3639360,8bgi,P31644
CHEMBL3652872,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1,IC50,500.0,nM,6.3,256758,CHEMBL3705380,9,CHEMBL5112,CHEMBL3639360,8bgi,P31644
CHEMBL3652872,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1,IC50,500.0,nM,6.3,256758,CHEMBL3705380,9,CHEMBL5112,CHEMBL3639360,8bgi,P31644
CHEMBL3652873,CC1=NN=C(c2cc3ccc(F)cc3s2)c2cc3oc(=O)[nH]c3cc2C1,IC50,100.0,nM,7.0,256759,CHEMBL3705380,9,CHEMBL5112,CHEMBL3639360,8bgi,P31644
CHEMBL3652872,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1,IC50,201.0,nM,6.7,,CHEMBL4132040,9,CHEMBL5112,CHEMBL4130365,8bgi,P31644
CHEMBL3652872,CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1,IC50,201.0,nM,6.7,,CHEMBL4132040,9,CHEMBL5112,CHEMBL4130365,8bgi,P31644
CHEMBL1270841,CC(OC(=O)c1cc2c(cn1)[nH]c1ccccc12)c1ccccc1,IC50,1000.0,nM,,,CHEMBL5235577,9,CHEMBL5112,CHEMBL5233266,8bgi,P31644
CHEMBL1270841,CC(OC(=O)c1cc2c(cn1)[nH]c1ccccc12)c1ccccc1,IC50,1000.0,nM,,,CHEMBL5235577,9,CHEMBL5112,CHEMBL5233266,8bgi,P31644
CHEMBL2008708,c1ccc2c(c1)[nH]c1cnc3c4cccnc4[nH]c3c12,IC50,200.0,nM,6.7,,CHEMBL5235585,9,CHEMBL5112,CHEMBL5233266,8bgi,P31644
CHEMBL2008708,c1ccc2c(c1)[nH]c1cnc3c4cccnc4[nH]c3c12,IC50,200.0,nM,6.7,,CHEMBL5235585,9,CHEMBL5112,CHEMBL5233266,8bgi,P31644
CHEMBL5281056,c1ccc2c(c1)[nH]c1cnc3c4ccncc4[nH]c3c12,IC50,240.0,nM,6.62,,CHEMBL5235585,9,CHEMBL5112,CHEMBL5233266,8bgi,P31644
CHEMBL5281056,c1ccc2c(c1)[nH]c1cnc3c4ccncc4[nH]c3c12,IC50,240.0,nM,6.62,,CHEMBL5235585,9,CHEMBL5112,CHEMBL5233266,8bgi,P31644
CHEMBL45198,Cc1csc(-c2cc(-c3ccncc3)c3n(c2=O)CCCc2ccncc2-3)n1,Ki,33.3,nM,7.48,,CHEMBL680331,8,CHEMBL5112,CHEMBL1148234,8bgi,P31644
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,Ki,,,,Not Determined,CHEMBL942244,8,CHEMBL5112,CHEMBL1152298,8bgi,P31644
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,Ki,,,,Not Determined,CHEMBL942244,8,CHEMBL5112,CHEMBL1152298,8bgi,P31644
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,Ki,,,,Not Determined,CHEMBL942244,8,CHEMBL5112,CHEMBL1152298,8bgi,P31644
CHEMBL1522,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,Ki,15000.0,nM,,,CHEMBL942244,8,CHEMBL5112,CHEMBL1152298,8bgi,P31644
CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Ki,15000.0,nM,,,CHEMBL942244,8,CHEMBL5112,CHEMBL1152298,8bgi,P31644
CHEMBL6597,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2,Ki,3.1,nM,8.51,,CHEMBL942244,8,CHEMBL5112,CHEMBL1152298,8bgi,P31644
CHEMBL6597,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2,Ki,3.1,nM,8.51,,CHEMBL942244,8,CHEMBL5112,CHEMBL1152298,8bgi,P31644
CHEMBL471115,CCCCCc1ncn2c3ccc(Cl)cc3c(=O)n(C)c12,Ki,369.0,nM,6.43,,CHEMBL991887,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL458321,CCc1ncn2c3ccc(Cl)cc3c(=O)n(C)c12,Ki,182.0,nM,6.74,,CHEMBL991887,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL510963,Cn1c(=O)c2cc(Cl)ccc2n2cnc(CO)c12,Ki,300.0,nM,,,CHEMBL991887,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
CHEMBL511685,CCCCC(=O)c1ncn2c3ccc(Cl)cc3c(=O)n(C)c12,Ki,166.0,nM,6.78,,CHEMBL991887,8,CHEMBL5112,CHEMBL1157475,8bgi,P31644
