molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL59190,c1ccc2c(c1)Cc1ccccc1-n1c-2nnc1N1CCNCC1,IC50,240.0,nM,6.62,,CHEMBL685367,4,CHEMBL2093872,CHEMBL1126054,8bhg,P18507
CHEMBL292757,Oc1onc2c1CCNCC2,IC50,16000.0,nM,4.8,,CHEMBL685366,4,CHEMBL2093872,CHEMBL1126054,8bhg,P18507
CHEMBL1687,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C.[Cl-],IC50,58000.0,nM,4.24,,CHEMBL685366,4,CHEMBL2093872,CHEMBL1126054,8bhg,P18507
CHEMBL417990,CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,IC50,15000.0,nM,4.82,,CHEMBL685366,4,CHEMBL2093872,CHEMBL1126054,8bhg,P18507
CHEMBL417990,CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,IC50,15000.0,nM,4.82,,CHEMBL685366,4,CHEMBL2093872,CHEMBL1126054,8bhg,P18507
CHEMBL417990,CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,IC50,15000.0,nM,4.82,,CHEMBL685366,4,CHEMBL2093872,CHEMBL1126054,8bhg,P18507
CHEMBL61683,CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CC(=N)N2,IC50,20.0,nM,7.7,,CHEMBL685366,4,CHEMBL2093872,CHEMBL1126054,8bhg,P18507
CHEMBL57848,COC(=O)c1c(C)[nH]c2nc3ccccc3c-2c1N,IC50,,nM,,Insoluble,CHEMBL678607,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
CHEMBL294873,Cc1nc2c(c(N)c1C(=O)O)c1ccccc1n2C,IC50,100000.0,nM,,,CHEMBL678606,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
CHEMBL60932,Cc1nc2c(c(N)c1C(=O)OCc1ccccc1)c1ccccc1n2C,IC50,30000.0,nM,,,CHEMBL678606,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
CHEMBL294170,C=CCOC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C,IC50,3800.0,nM,5.42,,CHEMBL678606,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
CHEMBL293097,COC(=O)c1c(-c2ccccc2)nc2c(c1N)c1ccccc1n2C,IC50,11200.0,nM,4.95,,CHEMBL678606,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
CHEMBL299256,CCCOC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C,IC50,2200.0,nM,5.66,,CHEMBL678606,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
CHEMBL299256,CCCOC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C,IC50,2200.0,nM,5.66,,CHEMBL678606,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
CHEMBL57419,CNc1c(C(=O)OC)c(C)nc2c1c1ccccc1n2C,IC50,17100.0,nM,4.77,,CHEMBL678606,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
CHEMBL57418,COC(=O)c1c(C)nc2c(c1N)c1ccccc1n2C1CCCC1,IC50,80000.0,nM,4.1,,CHEMBL678606,4,CHEMBL2093872,CHEMBL1153654,8bhg,P18507
