molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL181314,Cn1c(=O)c(-c2c(Cl)cc(O)cc2Cl)cc2cnc(Nc3ccc(OCCCC(=O)O)cc3)nc21,IC50,40.0,nM,7.4,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL359732,Cc1c(-c2ccccc2)c(=O)n(C)c2nc(Nc3ccccc3)ncc12,IC50,50000.0,nM,,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL360799,Cc1c(-c2ccccc2Cl)c(=O)n(C)c2nc(Nc3ccccc3)ncc12,IC50,410.0,nM,6.39,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL181017,CCN(CC)CCOc1ccc(Nc2ncc3c(C)c(-c4ccccc4Cl)c(=O)n(C)c3n2)cc1,IC50,550.0,nM,6.26,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL181017,CCN(CC)CCOc1ccc(Nc2ncc3c(C)c(-c4ccccc4Cl)c(=O)n(C)c3n2)cc1,IC50,550.0,nM,6.26,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL180794,Cc1cccc(C)c1-c1c(C)c2cnc(Nc3ccccc3)nc2n(C)c1=O,IC50,1200.0,nM,5.92,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL180821,CCN(CC)CCOc1ccc(Nc2ncc3c(C)c(-c4c(C)cccc4C)c(=O)n(C)c3n2)cc1,IC50,540.0,nM,6.27,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL180821,CCN(CC)CCOc1ccc(Nc2ncc3c(C)c(-c4c(C)cccc4C)c(=O)n(C)c3n2)cc1,IC50,540.0,nM,6.27,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL301612,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,IC50,2600.0,nM,5.58,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
CHEMBL301612,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,IC50,2600.0,nM,5.58,,CHEMBL829373,8,CHEMBL5491,CHEMBL1143513,8bju,P30291
