molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL233338,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCN,IC50,10000.0,nM,,,CHEMBL895276,8,CHEMBL2068,CHEMBL1148883,8bod,P29317
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,137.0,nM,6.86,,CHEMBL997067,8,CHEMBL2068,CHEMBL1156446,8bod,P29317
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,137.0,nM,6.86,,CHEMBL997067,8,CHEMBL2068,CHEMBL1156446,8bod,P29317
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,137.0,nM,6.86,,CHEMBL997067,8,CHEMBL2068,CHEMBL1156446,8bod,P29317
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,137.0,nM,6.86,,CHEMBL997067,8,CHEMBL2068,CHEMBL1156446,8bod,P29317
CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,IC50,137.0,nM,6.86,,CHEMBL997067,8,CHEMBL2068,CHEMBL1156446,8bod,P29317
CHEMBL465465,CS(=O)(=O)c1ccc(CNCc2cc(C(=O)O)c(Nc3ccc(I)cc3F)c(F)c2F)cc1,IC50,30000.0,nM,,,CHEMBL963870,8,CHEMBL2068,CHEMBL1139272,8bod,P29317
CHEMBL517647,NC(=O)C[C@H](N)C(=O)NCc1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F,IC50,30000.0,nM,,,CHEMBL963870,8,CHEMBL2068,CHEMBL1139272,8bod,P29317
CHEMBL481968,O=C(N/N=C/c1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F)c1ccc(CO)o1,IC50,3000.0,nM,5.52,,CHEMBL963870,8,CHEMBL2068,CHEMBL1139272,8bod,P29317
CHEMBL481969,O=C(CS(=O)(=O)c1ccc(Cl)cc1)N/N=C/c1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F,IC50,30000.0,nM,,,CHEMBL963870,8,CHEMBL2068,CHEMBL1139272,8bod,P29317
CHEMBL451523,COc1c(NC(=O)Nc2ccc(-c3ccc(CN4CCOCC4)nc3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O,IC50,5200.0,nM,5.28,,CHEMBL984176,8,CHEMBL2068,CHEMBL1138470,8bod,P29317
CHEMBL515414,Cc1ccc(-c2c(C(=O)CF)n(CCCO)c3ncnc(N)c23)cc1,IC50,760.0,nM,6.12,Antagonist,CHEMBL1062882,9,CHEMBL2068,CHEMBL1150976,8bod,P29317
CHEMBL566515,COc1ccccc1-n1c(-c2cc(O)ccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12,IC50,2.3,nM,8.64,,CHEMBL1046771,8,CHEMBL2068,CHEMBL1154183,8bod,P29317
CHEMBL576989,CCCc1cc(N2CCCC(O)C2)nc2sc(C(N)=O)c(N)c12,IC50,7000.0,nM,,,CHEMBL1049081,8,CHEMBL2068,CHEMBL1156029,8bod,P29317
CHEMBL576887,CCCc1cc(N2CCC(O)CC2)nc2sc(C(N)=O)c(N)c12,IC50,7000.0,nM,,,CHEMBL1049081,8,CHEMBL2068,CHEMBL1156029,8bod,P29317
CHEMBL568922,CCCc1cc(N2CCNCC2)nc2sc(C(N)=O)c(N)c12,IC50,7000.0,nM,,,CHEMBL1049081,8,CHEMBL2068,CHEMBL1156029,8bod,P29317
CHEMBL578601,CCCc1cc(N2CCC(N)CC2)nc2sc(C(N)=O)c(N)c12,IC50,7000.0,nM,,,CHEMBL1049081,8,CHEMBL2068,CHEMBL1156029,8bod,P29317
CHEMBL590109,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,IC50,10000.0,nM,,,CHEMBL1073294,8,CHEMBL2068,CHEMBL1153138,8bod,P29317
CHEMBL590109,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,IC50,10000.0,nM,,,CHEMBL1073294,8,CHEMBL2068,CHEMBL1153138,8bod,P29317
CHEMBL602471,C[C@@H](Oc1ccc2ncc(/C=C/C(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl,IC50,4400.0,nM,5.36,,CHEMBL1066392,8,CHEMBL2068,CHEMBL1156877,8bod,P29317
CHEMBL600795,C[C@@H](Oc1ccc2ncccc2c1)c1c(Cl)ccc(F)c1Cl,IC50,50000.0,nM,,,CHEMBL1066392,8,CHEMBL2068,CHEMBL1156877,8bod,P29317
CHEMBL602472,C[C@@H](Oc1ccc2ncc(C3CC3C(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl,IC50,5200.0,nM,5.28,,CHEMBL1066392,8,CHEMBL2068,CHEMBL1156877,8bod,P29317
CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,IC50,35.0,nM,7.46,,CHEMBL1109426,8,CHEMBL2068,CHEMBL1153704,8bod,P29317
CHEMBL1090360,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,IC50,370.0,nM,6.43,,CHEMBL1109665,8,CHEMBL2068,CHEMBL1156213,8bod,P29317
CHEMBL1090360,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,IC50,370.0,nM,6.43,,CHEMBL1109665,8,CHEMBL2068,CHEMBL1156213,8bod,P29317
CHEMBL1172957,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1,IC50,10000.0,nM,5.0,,CHEMBL1177625,8,CHEMBL2068,CHEMBL1177660,8bod,P29317
CHEMBL478629,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,IC50,11.0,nM,7.96,,CHEMBL1272380,8,CHEMBL2068,CHEMBL1268961,8bod,P29317
CHEMBL324153,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)ccn1,IC50,250.0,nM,6.6,,CHEMBL1272380,8,CHEMBL2068,CHEMBL1268961,8bod,P29317
CHEMBL1271480,O=c1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)c[nH]1,IC50,260.0,nM,6.58,,CHEMBL1272380,8,CHEMBL2068,CHEMBL1268961,8bod,P29317
CHEMBL1271532,c1cc(-c2cnc3c(-c4cn[nH]c4)cnn3c2)ccc1OCCN1CCOCC1,IC50,300.0,nM,6.52,,CHEMBL1272380,8,CHEMBL2068,CHEMBL1268961,8bod,P29317
