molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL201515,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,28000.0,nM,4.55,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL201515,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,28000.0,nM,4.55,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL201515,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,28000.0,nM,4.55,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL201515,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,28000.0,nM,4.55,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL201515,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,28000.0,nM,4.55,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,IC50,114000.0,nM,,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,IC50,114000.0,nM,,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,IC50,114000.0,nM,,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,IC50,114000.0,nM,,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,IC50,114000.0,nM,,,CHEMBL859105,9,CHEMBL4696,CHEMBL1138121,8bzs,P00489
