molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1521297,Cc1ccc(C(=O)c2coc3c2C(=O)C(=O)c2ccccc2-3)cc1,IC50,3802.0,nM,,active,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL2130546,CCCCCNC(=O)C(c1cccc2ccccc12)n1c(=O)c(-c2ccco2)nc2ccccc21,IC50,2827.0,nM,,active,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL1874590,CCCc1nc(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,25077.0,nM,,inactive,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL1516619,CCC(C(=O)OCCN(CC)CC)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,23873.0,nM,,inactive,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL1339303,O=C(/C=C/Sc1ccccc1)c1ccc(Cl)cc1,IC50,6307.0,nM,,active,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL2134171,O=C(Nc1ccc2c(c1)OCCO2)C(c1ccccc1F)n1c(=O)c(-c2ccco2)nc2ccccc21,IC50,16187.0,nM,,inactive,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL2130627,O=C(NCc1ccccc1)C(c1ccc(-c2ccccc2)cc1)n1c(=O)c(-c2ccco2)nc2ccccc21,IC50,3341.0,nM,,active,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL1201163,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,IC50,24789.0,nM,,inactive,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL790,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,IC50,23461.0,nM,,inactive,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL2138239,COc1ccc(C(C(=O)NC(C)(C)C)n2c(=O)c(-c3ccco3)nc3ccccc32)cc1,IC50,1776.0,nM,,active,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
CHEMBL1386129,COc1cc(OC)cc(C(=O)NC(=S)N(Cc2ccccc2)C(C)C)c1,IC50,39835.0,nM,,inactive,CHEMBL2114764,9,CHEMBL5398,CHEMBL1201862,8c1l,P41235
