molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL381470,CCCCCCCCCCCCC1OCC(COP(=O)([O-])O)O1.[K+],IC50,232.0,nM,6.63,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL425218,CCCCCCC/C=C/CCCCCCCC[C@H]1OC[C@@H](COP([O-])(O)=S)O1.[K+],IC50,403.0,nM,6.39,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL370846,CCCCCCC/C=C/CCCCCCCC[C@H]1OC[C@@H](COP(=O)([O-])O)O1.[K+],IC50,178.0,nM,6.75,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL200003,CCCCCCC/C=C/CCCCCCCC[C@@H]1OC[C@@H](COP([O-])(O)=S)O1.[K+],IC50,363.0,nM,6.44,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL382116,CCCCCCC/C=C/CCCCCCCC[C@@H]1OC[C@@H](COP(=O)([O-])O)O1.[K+],IC50,238.0,nM,6.62,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL199400,CCCCCCC/C=C/CCCCCCCC[C@@H]1OC[C@H](COP([O-])(O)=S)O1.[K+],IC50,344.0,nM,6.46,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL436763,CCCCCCC/C=C/CCCCCCCC[C@@H]1OC[C@H](COP(=O)([O-])O)O1.[K+],IC50,97.0,nM,7.01,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL427014,CCCCCCC/C=C/CCCCCCCC[C@H]1OC[C@H](COP([O-])(O)=S)O1.[K+],IC50,252.0,nM,6.6,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL371955,CCCCCCC/C=C/CCCCCCCC[C@H]1OC[C@H](COP(=O)([O-])O)O1.[K+],IC50,120.0,nM,6.92,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL198406,CCCCCCCCc1ccc(CCCCCCC2OCC(COP([O-])(O)=S)O2)cc1.[K+],IC50,449.0,nM,6.35,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
CHEMBL199380,CCCCCCCCc1ccc(CCCCCCC2OCC(COP(=O)([O-])O)O2)cc1.[K+],IC50,106.0,nM,6.97,,CHEMBL869921,9,CHEMBL3691,CHEMBL1148595,8c3o,Q13822
