molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL189657,CCn1c(-c2nonc2N)nc2cnccc21,IC50,110.0,nM,6.96,,CHEMBL828004,9,CHEMBL2292,CHEMBL1139578,8c3r,Q13627
CHEMBL189657,CCn1c(-c2nonc2N)nc2cnccc21,IC50,110.0,nM,6.96,,CHEMBL828004,9,CHEMBL2292,CHEMBL1139578,8c3r,Q13627
CHEMBL188434,CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,IC50,4900.0,nM,5.31,,CHEMBL828004,9,CHEMBL2292,CHEMBL1139578,8c3r,Q13627
CHEMBL188434,CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,IC50,4900.0,nM,5.31,,CHEMBL828004,9,CHEMBL2292,CHEMBL1139578,8c3r,Q13627
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,IC50,40000.0,nM,,,CHEMBL861010,9,CHEMBL2292,CHEMBL1146093,8c3r,Q13627
CHEMBL215652,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3Cl)cn12,IC50,10000.0,nM,,,CHEMBL869157,9,CHEMBL2292,CHEMBL1145312,8c3r,Q13627
CHEMBL213423,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,IC50,10000.0,nM,,,CHEMBL869157,9,CHEMBL2292,CHEMBL1145312,8c3r,Q13627
CHEMBL213451,CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,IC50,10000.0,nM,,,CHEMBL869157,9,CHEMBL2292,CHEMBL1145312,8c3r,Q13627
CHEMBL212382,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12,IC50,10000.0,nM,,,CHEMBL869157,9,CHEMBL2292,CHEMBL1145312,8c3r,Q13627
CHEMBL212968,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,IC50,10000.0,nM,,,CHEMBL869157,9,CHEMBL2292,CHEMBL1145312,8c3r,Q13627
CHEMBL214198,CC(C)c1nnc2ccc(-c3c[nH]nc3-c3cc(F)ccc3F)cn12,IC50,10000.0,nM,,,CHEMBL869157,9,CHEMBL2292,CHEMBL1145312,8c3r,Q13627
CHEMBL379929,CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,IC50,10000.0,nM,,,CHEMBL869157,9,CHEMBL2292,CHEMBL1145312,8c3r,Q13627
CHEMBL376505,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,IC50,120.0,nM,6.92,,CHEMBL920482,9,CHEMBL2292,CHEMBL1149250,8c3r,Q13627
CHEMBL376505,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,IC50,120.0,nM,6.92,,CHEMBL920482,9,CHEMBL2292,CHEMBL1149250,8c3r,Q13627
