molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL400514,C=C1[C@@]2(C)C[C@H]3C(C)=C4CC(=O)OC(C)(C)C4=CC[C@]3(C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O,IC50,4400.0,nM,5.36,,CHEMBL1913641,9,CHEMBL1909490,CHEMBL1909526,8c3u,P01584
CHEMBL1911626,C=C1[C@@]2(C)C[C@H]3[C@]4(C)CCC(=O)C(C)(C)[C@H]4CC[C@]3(C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O,IC50,15500.0,nM,4.81,,CHEMBL1913641,9,CHEMBL1909490,CHEMBL1909526,8c3u,P01584
CHEMBL1911627,C=C1[C@@]2(C)C[C@H]3[C@]4(C)CC[C@@H](O)C(C)(C)[C@H]4CC[C@]3(C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O,IC50,2700.0,nM,5.57,,CHEMBL1913641,9,CHEMBL1909490,CHEMBL1909526,8c3u,P01584
CHEMBL1911628,C=C1[C@@]2(C)C[C@@H]3[C@](C)(CC=C4C(C)(C)OC(=O)CC[C@]43C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O,IC50,3700.0,nM,5.43,,CHEMBL1913641,9,CHEMBL1909490,CHEMBL1909526,8c3u,P01584
CHEMBL1911629,C=C1[C@@]2(C)C[C@H]3[C@]4(C)CCC(=O)OC(C)(C)[C@@H]4CC[C@]3(C)[C@]1(C(=O)OC)C(=O)[C@@](C)(O)C2=O,IC50,34300.0,nM,4.46,,CHEMBL1913641,9,CHEMBL1909490,CHEMBL1909526,8c3u,P01584
CHEMBL1911630,C=C(C)C1=CC[C@@]2(C)[C@@H](C[C@]3(C)C(=C)[C@@]2(C(=O)OC)C(=O)[C@@](C)(O)C3=O)[C@]1(C)CCC(=O)O,IC50,37800.0,nM,4.42,,CHEMBL1913641,9,CHEMBL1909490,CHEMBL1909526,8c3u,P01584
CHEMBL37630,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H](C=O)CC(=O)O)C(C)C,IC50,2000.0,nM,5.7,,CHEMBL1913641,9,CHEMBL1909490,CHEMBL1909526,8c3u,P01584
CHEMBL4472181,C/C=C(\C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@@]23C[C@@]1(O)O[C@H]1C[C@]4(C)C(=CC[C@H]4c4ccoc4)[C@](C)(C(=O)C[C@H]2C(C)C)C13,IC50,7800.0,nM,5.11,,CHEMBL4407226,9,CHEMBL1909490,CHEMBL4406802,8c3u,P01584
CHEMBL5542441,Cc1ccc2c(c1)NC(=O)[C@@]2(c1cn[nH]c1)c1cc(-c2ccc(C(=O)O)cc2C(=O)O)ccc1O,IC50,4000.0,nM,5.4,,CHEMBL5510946,9,CHEMBL1909490,CHEMBL5506044,8c3u,P01584
CHEMBL5542441,Cc1ccc2c(c1)NC(=O)[C@@]2(c1cn[nH]c1)c1cc(-c2ccc(C(=O)O)cc2C(=O)O)ccc1O,IC50,4000.0,nM,5.4,,CHEMBL5510946,9,CHEMBL1909490,CHEMBL5506044,8c3u,P01584
