molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4060768,O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,IC50,50000.0,nM,,,CHEMBL4015082,9,CHEMBL1795194,CHEMBL4014298,8c8c,P48426
CHEMBL4060768,O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,IC50,50000.0,nM,,,CHEMBL4015082,9,CHEMBL1795194,CHEMBL4014298,8c8c,P48426
CHEMBL4060768,O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,IC50,50000.0,nM,,,CHEMBL4015085,9,CHEMBL1795194,CHEMBL4014298,8c8c,P48426
CHEMBL4060768,O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,IC50,50000.0,nM,,,CHEMBL4015085,9,CHEMBL1795194,CHEMBL4014298,8c8c,P48426
CHEMBL4072637,CNC(=O)c1nc(-c2nc(-c3cnc4ccccn34)c(C)nc2N)n(C)n1,IC50,38000.0,nM,4.42,,CHEMBL4035992,9,CHEMBL1795194,CHEMBL4033707,8c8c,P48426
CHEMBL4072637,CNC(=O)c1nc(-c2nc(-c3cnc4ccccn34)c(C)nc2N)n(C)n1,IC50,38000.0,nM,4.42,,CHEMBL4035992,9,CHEMBL1795194,CHEMBL4033707,8c8c,P48426
CHEMBL4072637,CNC(=O)c1nc(-c2nc(-c3cnc4ccccn34)c(C)nc2N)n(C)n1,IC50,2600.0,nM,5.58,,CHEMBL4035994,9,CHEMBL1795194,CHEMBL4033707,8c8c,P48426
CHEMBL4072637,CNC(=O)c1nc(-c2nc(-c3cnc4ccccn34)c(C)nc2N)n(C)n1,IC50,2600.0,nM,5.58,,CHEMBL4035994,9,CHEMBL1795194,CHEMBL4033707,8c8c,P48426
CHEMBL4571099,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(-c4cnc5[nH]ccc5c4)ncn3)c2)cc1,IC50,2100.0,nM,5.68,,CHEMBL4345228,9,CHEMBL1795194,CHEMBL4342488,8c8c,P48426
CHEMBL4454740,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(-c4ccc5nn(C)cc5c4)ncn3)c2)cc1,IC50,3500.0,nM,5.46,,CHEMBL4345228,9,CHEMBL1795194,CHEMBL4342488,8c8c,P48426
CHEMBL4472811,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(Nc4ccc(-c5ccccc5)cc4)ncn3)c2)cc1,IC50,1300.0,nM,5.89,,CHEMBL4345228,9,CHEMBL1795194,CHEMBL4342488,8c8c,P48426
CHEMBL4461694,Cc1ccc(Nc2cc(Nc3cccc(NC(=O)c4ccc(NC(=O)/C=C/CN(C)C)cc4)c3)ncn2)cc1,IC50,1300.0,nM,5.89,,CHEMBL4345228,9,CHEMBL1795194,CHEMBL4342488,8c8c,P48426
