molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL152665,O=C(Cc1ccccc1)NO,IC50,13600.0,nM,4.87,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL2146994,O=C(Cc1cccc(F)c1)NO,IC50,16400.0,nM,4.79,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL1650620,Cc1c(O)c(=S)ccn1C,IC50,80600.0,nM,4.09,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL1650624,CCn1ccc(=S)c(O)c1C,IC50,88500.0,nM,4.05,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL1650623,CCc1c(O)c(=S)ccn1CC,IC50,392000.0,nM,,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL1650621,Cn1cccc(O)c1=S,IC50,220000.0,nM,,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL2146995,Cc1c(O)c(=S)ccn1Cc1ccc(-c2ccc(F)c(F)c2)cc1,IC50,3340.0,nM,5.48,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL2146996,Cc1c(O)c(=S)ccn1Cc1ccc(-c2ccccc2)cc1,IC50,2730.0,nM,5.56,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL2146996,Cc1c(O)c(=S)ccn1Cc1ccc(-c2ccccc2)cc1,IC50,2730.0,nM,5.56,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL2146997,Cc1c(O)c(=S)ccn1Cc1ccc(-c2ccc3c(c2)OCO3)cc1,IC50,3580.0,nM,5.45,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL2146998,Cc1c(O)c(=S)ccn1Cc1ccc(-c2ccc(F)cc2)cc1,IC50,4650.0,nM,5.33,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL2146999,Cc1ccc(-c2ccc(Cn3ccc(=S)c(O)c3C)cc2)cc1,IC50,6720.0,nM,5.17,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
CHEMBL2147000,COc1ccc(-c2ccc(Cn3ccc(=S)c(O)c3C)cc2)cc1,IC50,8580.0,nM,5.07,,CHEMBL2150722,8,CHEMBL1075146,CHEMBL2146446,8cc4,P14756
