molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,IC50,3430.0,nM,5.46,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,IC50,3430.0,nM,5.46,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,IC50,3430.0,nM,5.46,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,IC50,3430.0,nM,5.46,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,IC50,3430.0,nM,5.46,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,960.0,nM,6.02,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,960.0,nM,6.02,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,960.0,nM,6.02,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,960.0,nM,6.02,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,960.0,nM,6.02,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,960.0,nM,6.02,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,960.0,nM,6.02,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,960.0,nM,6.02,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL124035,COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)c2cc1OC,IC50,5460.0,nM,5.26,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL125898,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1,IC50,1400.0,nM,5.85,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL444064,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCN1CCCCC1,IC50,3430.0,nM,5.46,,CHEMBL766070,9,CHEMBL1844,CHEMBL1135998,8cgc,P07333
CHEMBL542955,COc1ccc2ncnc(N(C)c3ccccc3)c2c1.Cl,IC50,20000.0,nM,4.7,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
CHEMBL543904,COc1cc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC.Cl,IC50,100000.0,nM,,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
CHEMBL553908,COc1cc2ncnc(N(C)c3cccc(Cl)c3)c2cc1OC.Cl,IC50,1500.0,nM,5.82,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
CHEMBL554566,Cc1cccc(N(C)c2ncnc3cc(C)c(C)cc23)c1.Cl,IC50,1600.0,nM,5.8,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
CHEMBL136011,Cc1cccc(N(C)c2[nH]cnc3nncc2-3)c1,IC50,180.0,nM,6.75,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
CHEMBL545538,COc1cc2ncnc(N(C)c3ccc(C)cc3)c2cc1OC.Cl,IC50,2000.0,nM,5.7,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
CHEMBL135417,COc1cc2nc(Cl)nc(N(C)c3ccccc3)c2cc1OC,IC50,50000.0,nM,,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
CHEMBL553523,COc1cc2ncnc(N(C)c3cccc(C)c3)c2cc1OC.Cl,IC50,180.0,nM,6.75,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
CHEMBL335052,CN(c1ccccc1)c1[nH]cnc2ncnc1-2,IC50,4000.0,nM,5.4,,CHEMBL657534,8,CHEMBL1844,CHEMBL1129840,8cgc,P07333
