molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2420387,Nc1ccc(C(=O)O)cc1NC(=O)[C@@H](N)CCc1ccccc1,IC50,100000.0,nM,,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420386,COC(=O)c1ccc(N)c(NC(=O)[C@@H](N)CCc2ccccc2)c1,IC50,16300.0,nM,4.79,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420385,Nc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)OCc2ccccc2)cc1NC(=O)[C@@H](N)CCc1ccccc1,IC50,1300.0,nM,5.89,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420384,COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1ccc(N)c(NC(=O)[C@@H](N)CCc2ccccc2)c1,IC50,2800.0,nM,5.55,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420383,COC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccc(N)c(NC(=O)[C@@H](N)CCc2ccccc2)c1,IC50,9600.0,nM,5.02,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420382,NCCCC[C@H](NC(=O)c1ccc(N)c(NC(=O)[C@@H](N)CCc2ccccc2)c1)C(=O)O,IC50,6000.0,nM,5.22,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420381,COC(=O)[C@H](CCCCN)NC(=O)c1ccc(N)c(NC(=O)[C@@H](N)CCc2ccccc2)c1,IC50,10300.0,nM,4.99,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420380,COC(=O)[C@@H](NC(=O)c1ccc(N)c(NC(=O)[C@@H](N)CCc2ccccc2)c1)[C@@H](C)O,IC50,46000.0,nM,4.34,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420379,CC(C)[C@H](NC(=O)c1ccc(N)c(NC(=O)[C@@H](N)CCc2ccccc2)c1)C(=O)O,IC50,100000.0,nM,,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
CHEMBL2420378,CC(C)[C@H](NC(=O)c1ccc(N)c(NC(=O)[C@@H](N)CCc2ccccc2)c1)C(=O)OCc1ccccc1,IC50,3900.0,nM,5.41,,CHEMBL2422395,9,CHEMBL2693,CHEMBL2417496,8cgp,Q9UIQ6
