molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL459440,N[C@@H](Cc1ccc(-c2cnc(NCC3CCCCC3)cn2)cc1)C(=O)O,IC50,240.0,nM,6.62,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL512353,Nc1nc(OC(c2sccc2-c2ccco2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,IC50,54.0,nM,7.27,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL479924,Nc1nc(OC(c2ccccc2-n2ccc(C(F)(F)F)n2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,IC50,29.0,nM,7.54,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL471564,Nc1nc(OC(c2ccccc2-c2ccco2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,IC50,24.0,nM,7.62,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL471380,Cc1cccc(-c2ccccc2C(Oc2cc(-c3ccc(C[C@H](N)C(=O)O)cc3)nc(N)n2)C(F)(F)F)c1,IC50,70.0,nM,7.16,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL470086,Nc1nc(OC(c2ccc3ccccc3c2)C(F)(F)F)cc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,IC50,180.0,nM,6.75,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL470085,C[C@@H](Oc1cc(-c2ccc(C[C@H](N)C(=O)O)cc2)nc(N)n1)c1ccc2ccccc2c1,IC50,380.0,nM,6.42,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL469480,C[C@@H](Nc1cc(-c2ccc(C[C@H](N)C(=O)O)cc2)nc(N)n1)c1ccc2ccccc2c1,IC50,32.0,nM,7.5,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL469872,CCn1c2ccccc2c2cc(CNc3ccc(-c4ccc(C[C@H](N)C(=O)O)cc4)nc3)ccc21,IC50,10000.0,nM,,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL511960,COc1ccc(CNc2ccc(-c3ccc(C[C@H](N)C(=O)O)cc3)nn2)cc1OC1CCCC1,IC50,970.0,nM,6.01,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL511327,COc1ccc(CNc2ccc(-c3ccc(C[C@H](N)C(=O)O)cc3)cc2)cc1OC1CCCC1,IC50,10000.0,nM,,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL472308,C[C@@H](Nc1nc(N)nc(-c2ccc(C(N)CC(=O)O)cc2)n1)c1ccc2ccccc2c1,IC50,3770.0,nM,5.42,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL472307,C[C@@H](Nc1nc(N)nc(-c2ccc(CC(C)(N)C(=O)O)cc2)n1)c1ccc2ccccc2c1,IC50,11100.0,nM,4.96,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL460882,Nc1nc(NCc2ccc3ccccc3c2)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,IC50,24.0,nM,7.62,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL460882,Nc1nc(NCc2ccc3ccccc3c2)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,IC50,24.0,nM,7.62,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL460678,C[C@@H](Nc1nc(N)nc(-c2ccn(C[C@H](N)C(=O)O)n2)n1)c1ccc2ccccc2c1,IC50,12600.0,nM,4.9,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL460677,C[C@@H](Nc1nc(N)nc(N2CCC(C[C@H](N)C(=O)O)CC2)n1)c1ccc2ccccc2c1,IC50,770.0,nM,6.11,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL518792,C[C@@H](Nc1nc(N)nc(-c2ccc(CC(N)C(=O)O)nc2)n1)c1ccc2ccccc2c1,IC50,890.0,nM,6.05,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL459857,C[C@@H](Nc1nc(N)nc(-c2cccc(CC(N)C(=O)O)c2)n1)c1ccc2ccccc2c1,IC50,11000.0,nM,,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL469479,C[C@@H](Nc1nc(N)nc(-c2ccc(CC(N)C(=O)O)c(F)c2)n1)c1ccc2ccccc2c1,IC50,200.0,nM,6.7,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL470084,C[C@@H](Nc1nc(N)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1)c1ccc2ccccc2c1,IC50,26.0,nM,7.58,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL470084,C[C@@H](Nc1nc(N)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1)c1ccc2ccccc2c1,IC50,26.0,nM,7.58,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL470083,Cc1ccccc1-c1ccccc1CNc1cnc(-c2ccc(C[C@H](N)C(=O)O)cc2)cn1,IC50,40.0,nM,7.4,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL513205,N[C@@H](Cc1ccc(-c2cnc(NCc3ccc(-c4ccccc4)cc3)cn2)cc1)C(=O)O,IC50,44.0,nM,7.36,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL469464,COc1ccc(CNc2cnc(-c3ccc(C[C@H](N)C(=O)O)cc3)cn2)cc1OC,IC50,69.0,nM,7.16,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL469463,CCn1c2ccccc2c2cc(CNc3cnc(-c4ccc(C[C@H](N)C(=O)O)cc4)cn3)ccc21,IC50,31.0,nM,7.51,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL469462,COc1ccc(CNc2cnc(-c3ccc(C[C@H](N)C(=O)O)cc3)cn2)c(OC2CCCC2)c1,IC50,45.0,nM,7.35,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL518324,N[C@@H](Cc1ccc(-c2cnc(NCc3ccc4ccccc4c3)cn2)cc1)C(=O)O,IC50,13.0,nM,7.89,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL459856,N[C@@H](Cc1ccc(-c2cnc(NCC3CCc4ccccc4C3)cn2)cc1)C(=O)O,IC50,46.0,nM,7.34,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL459855,N[C@@H](Cc1ccc(-c2cnc(NCc3cnc4ccccc4c3)cn2)cc1)C(=O)O,IC50,190.0,nM,6.72,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL506107,N[C@@H](Cc1ccc(-c2cnc(NCc3ccccn3)cn2)cc1)C(=O)O,IC50,6150.0,nM,5.21,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL449807,N#Cc1ccc(CNc2cnc(-c3ccc(C[C@H](N)C(=O)O)cc3)cn2)cc1,IC50,110.0,nM,6.96,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL459441,N[C@@H](Cc1ccc(-c2cnc(NCc3ccoc3)cn2)cc1)C(=O)O,IC50,960.0,nM,6.02,,CHEMBL1016550,8,CHEMBL5689,CHEMBL1155012,8cjl,P17752
CHEMBL567037,Nc1nc(NCC2CCCCC2)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,IC50,120.0,nM,6.92,,CHEMBL1042730,9,CHEMBL5689,CHEMBL1155300,8cjl,P17752
CHEMBL565330,Cc1ccc(CNc2nc(N)nc(-c3ccc(C[C@H](N)C(=O)O)cc3)n2)cc1C,IC50,100.0,nM,7.0,,CHEMBL1042730,9,CHEMBL5689,CHEMBL1155300,8cjl,P17752
CHEMBL567453,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc(-c2ccc(C[C@H](N)C(=O)O)cc2)n1,IC50,120.0,nM,6.92,,CHEMBL1042730,9,CHEMBL5689,CHEMBL1155300,8cjl,P17752
