molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL467987,C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,IC50,3000.0,nM,5.52,,CHEMBL979111,9,CHEMBL5854,CHEMBL1155881,8cot,Q96PN6
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,1100.0,nM,5.96,,CHEMBL979111,9,CHEMBL5854,CHEMBL1155881,8cot,Q96PN6
CHEMBL1162355,C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C[C@@H]1OP(=O)(O)OP(=O)(O)OP(=O)(O)O,IC50,700.0,nM,6.16,,CHEMBL979111,9,CHEMBL5854,CHEMBL1155881,8cot,Q96PN6
CHEMBL401844,O=C(O)c1cc2c(cc1S(=O)(=O)O)C1C(C3C2C2(Cl)C(Cl)=C(Cl)C3(Cl)C2(Cl)Cl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,IC50,11000.0,nM,4.96,,CHEMBL979111,9,CHEMBL5854,CHEMBL1155881,8cot,Q96PN6
CHEMBL4876469,Nc1nc(Cl)cc(N(Cc2cccs2)C2CC2)n1,IC50,1500.0,nM,5.82,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4876469,Nc1nc(Cl)cc(N(Cc2cccs2)C2CC2)n1,IC50,1500.0,nM,5.82,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4876469,Nc1nc(Cl)cc(N(Cc2cccs2)C2CC2)n1,IC50,1500.0,nM,5.82,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4849033,Cn1cc(Cc2cccs2)c(-c2cc(Cl)nc(N)n2)n1,IC50,141.0,nM,6.85,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4849033,Cn1cc(Cc2cccs2)c(-c2cc(Cl)nc(N)n2)n1,IC50,141.0,nM,6.85,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4874288,Cn1cc(Cc2cccc(F)c2)c(-c2cc(Cl)nc(N)n2)n1,IC50,392.0,nM,6.41,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4874288,Cn1cc(Cc2cccc(F)c2)c(-c2cc(Cl)nc(N)n2)n1,IC50,392.0,nM,6.41,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4864843,Cn1cc(Cc2ccc(F)cc2)c(-c2cc(Cl)nc(N)n2)n1,IC50,342.0,nM,6.47,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4867202,COc1cccc(Cc2cn(C)nc2-c2cc(Cl)nc(N)n2)c1,IC50,351.0,nM,6.46,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4867202,COc1cccc(Cc2cn(C)nc2-c2cc(Cl)nc(N)n2)c1,IC50,351.0,nM,6.46,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4857305,Cn1cc(Cc2ccccc2F)c(-c2cc(Cl)nc(N)n2)n1,IC50,132.0,nM,6.88,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
CHEMBL4874934,Cn1cc(Cc2ccccc2)c(-c2cc(Cl)nc(N)n2)n1,IC50,989.0,nM,6.0,,CHEMBL4839263,9,CHEMBL5854,CHEMBL4837243,8cot,Q96PN6
