molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL599406,O=C1N=C(O)S/C1=C\c1ccc(OCCC2CCCCC2)cc1,IC50,51.0,nM,7.29,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599406,O=C1N=C(O)S/C1=C\c1ccc(OCCC2CCCCC2)cc1,IC50,51.0,nM,7.29,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599406,O=C1N=C(O)S/C1=C\c1ccc(OCCC2CCCCC2)cc1,IC50,51.0,nM,7.29,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599406,O=C1N=C(O)S/C1=C\c1ccc(OCCC2CCCCC2)cc1,IC50,51.0,nM,7.29,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599406,O=C1N=C(O)S/C1=C\c1ccc(OCCC2CCCCC2)cc1,IC50,51.0,nM,7.29,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599407,O=C1N=C(O)S/C1=C\c1ccc(OCCN2CCS(=O)(=O)CC2)cc1,IC50,274.0,nM,6.56,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599407,O=C1N=C(O)S/C1=C\c1ccc(OCCN2CCS(=O)(=O)CC2)cc1,IC50,274.0,nM,6.56,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL590265,O=C1N=C(O)S/C1=C\c1ccc(OCCc2cccs2)cc1,IC50,31.0,nM,7.51,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL590265,O=C1N=C(O)S/C1=C\c1ccc(OCCc2cccs2)cc1,IC50,31.0,nM,7.51,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599002,O=C1N=C(O)S/C1=C\c1ccc(OCCN2CCOCC2)cc1,IC50,713.0,nM,6.15,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599002,O=C1N=C(O)S/C1=C\c1ccc(OCCN2CCOCC2)cc1,IC50,713.0,nM,6.15,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL610221,O=C1N=C(O)S/C1=C\c1ccc(OCCc2ccsc2)cc1,IC50,60.0,nM,7.22,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL610221,O=C1N=C(O)S/C1=C\c1ccc(OCCc2ccsc2)cc1,IC50,60.0,nM,7.22,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599003,CC(C)OCCOc1ccc(/C=C2\SC(O)=NC2=O)cc1,IC50,1248.0,nM,5.9,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599003,CC(C)OCCOc1ccc(/C=C2\SC(O)=NC2=O)cc1,IC50,1248.0,nM,5.9,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599004,O=C1N=C(O)S/C1=C\c1ccc(OCCc2ccccn2)cc1,IC50,660.0,nM,6.18,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL599004,O=C1N=C(O)S/C1=C\c1ccc(OCCc2ccccn2)cc1,IC50,660.0,nM,6.18,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL590503,O=C1N=C(O)S/C1=C\c1ccc(OCCNC2CCCCC2)cc1,IC50,3719.0,nM,5.43,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL590503,O=C1N=C(O)S/C1=C\c1ccc(OCCNC2CCCCC2)cc1,IC50,3719.0,nM,5.43,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
CHEMBL598175,O=C1NC(=O)/C(=C/c2ccc(OCCC3CCCCO3)cc2)S1,IC50,750.0,nM,6.12,,CHEMBL1069650,9,CHEMBL1293255,CHEMBL1156934,8cvn,P15428
