molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2047477,CCn1/c(=C\C=C\C2=[N+](CC)c3cccc4cccc2c34)c2cccc3cccc1c32.[I-],IC50,9100.0,nM,5.04,,CHEMBL2050393,8,CHEMBL1795116,CHEMBL2046392,8cyi,O14744
CHEMBL2204995,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,IC50,100000.0,nM,,,CHEMBL2209107,8,CHEMBL1795116,CHEMBL2202955,8cyi,O14744
CHEMBL2204997,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C,IC50,100000.0,nM,,,CHEMBL2209107,8,CHEMBL1795116,CHEMBL2202955,8cyi,O14744
CHEMBL2204998,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(N4CCN(C)CC4)nc3)cc3c2cnn3C(C)C)c(=O)[nH]1,IC50,100000.0,nM,,,CHEMBL2209107,8,CHEMBL1795116,CHEMBL2202955,8cyi,O14744
CHEMBL2349526,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,2300.0,nM,5.64,,CHEMBL2350643,9,CHEMBL1795116,CHEMBL2346640,8cyi,O14744
CHEMBL2349526,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,2300.0,nM,5.64,,CHEMBL2350643,9,CHEMBL1795116,CHEMBL2346640,8cyi,O14744
CHEMBL24057,N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)o2)cc1,IC50,166000.0,nM,,,CHEMBL3239252,9,CHEMBL1795116,CHEMBL3232746,8cyi,O14744
CHEMBL24057,N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)o2)cc1,IC50,166000.0,nM,,,CHEMBL3239252,9,CHEMBL1795116,CHEMBL3232746,8cyi,O14744
CHEMBL424121,N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)nc3)o2)cc1,IC50,186000.0,nM,,,CHEMBL3239252,9,CHEMBL1795116,CHEMBL3232746,8cyi,O14744
CHEMBL142304,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2)cc1,IC50,44100.0,nM,4.36,,CHEMBL3239252,9,CHEMBL1795116,CHEMBL3232746,8cyi,O14744
CHEMBL142304,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2)cc1,IC50,44100.0,nM,4.36,,CHEMBL3239252,9,CHEMBL1795116,CHEMBL3232746,8cyi,O14744
CHEMBL3318285,COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC,IC50,100000.0,nM,,,CHEMBL3378208,9,CHEMBL1795116,CHEMBL3351294,8cyi,O14744
CHEMBL3409562,CCCCN1/C(=C/C=C(Br)/C=C/C2=[N+](CCCC)c3ccc(Br)cc3C2(C)C)C(C)(C)c2cc(Br)ccc21.[I-],IC50,35400.0,nM,4.45,,CHEMBL3411809,9,CHEMBL1795116,CHEMBL3407369,8cyi,O14744
CHEMBL3409558,C(/C=C/c1sc2c3ccccc3ccc2[n+]1CCCc1ccccc1)=C1/Sc2c(ccc3ccccc23)N1CCCc1ccccc1.[I-],IC50,7040.0,nM,5.15,,CHEMBL3411809,9,CHEMBL1795116,CHEMBL3407369,8cyi,O14744
CHEMBL3409555,CCCCN1/C(=C/C=C/c2sc3ccc(Br)cc3[n+]2CCCC)Sc2ccc(Br)cc21.[I-],IC50,8360.0,nM,5.08,,CHEMBL3411809,9,CHEMBL1795116,CHEMBL3407369,8cyi,O14744
CHEMBL3409550,CC1(C)C(/C=C/C=C2/N(CCCc3ccccc3)c3ccc4ccccc4c3C2(C)C)=[N+](CCCc2ccccc2)c2ccc3ccccc3c21.[Br-],IC50,1400.0,nM,5.85,,CHEMBL3411809,9,CHEMBL1795116,CHEMBL3407369,8cyi,O14744
CHEMBL3577854,CCNC(=O)NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,IC50,50000.0,nM,,,CHEMBL3578931,9,CHEMBL1795116,CHEMBL3576805,8cyi,O14744
