molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3343356,NC[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,IC50,104000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343356,NC[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,IC50,104000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL1232205,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,IC50,49000.0,nM,4.31,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL1232205,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,IC50,49000.0,nM,4.31,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL1233147,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,94000.0,nM,4.03,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL1233147,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,94000.0,nM,4.03,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL384759,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,59000.0,nM,4.23,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL384759,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,59000.0,nM,4.23,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343359,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OCc3cn([C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)nn3)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+],IC50,247000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343359,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OCc3cn([C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)nn3)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+],IC50,247000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343358,C[C@H]1O[C@@H](n2cc(COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nn2)[C@H](O)[C@@H](O)[C@H]1O.[Na+],IC50,134000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343358,C[C@H]1O[C@@H](n2cc(COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nn2)[C@H](O)[C@@H](O)[C@H]1O.[Na+],IC50,134000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343357,C[C@@H]1O[C@H](n2cc(COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nn2)[C@@H](O)[C@H](O)[C@@H]1O.[Na+],IC50,139000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343357,C[C@@H]1O[C@H](n2cc(COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nn2)[C@@H](O)[C@H](O)[C@@H]1O.[Na+],IC50,139000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343359,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OCc3cn([C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)nn3)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+],Ki,186000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343359,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OCc3cn([C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)nn3)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+],Ki,186000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343358,C[C@H]1O[C@@H](n2cc(COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nn2)[C@H](O)[C@@H](O)[C@H]1O.[Na+],Ki,190000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343358,C[C@H]1O[C@@H](n2cc(COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nn2)[C@H](O)[C@@H](O)[C@H]1O.[Na+],Ki,190000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343357,C[C@@H]1O[C@H](n2cc(COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nn2)[C@@H](O)[C@H](O)[C@@H]1O.[Na+],Ki,137000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343357,C[C@@H]1O[C@H](n2cc(COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nn2)[C@@H](O)[C@H](O)[C@@H]1O.[Na+],Ki,137000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
CHEMBL3343356,NC[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,Ki,102000.0,nM,,,CHEMBL3390549,9,CHEMBL4985,CHEMBL3351541,8d0s,Q9Y231
