molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1961795,CC(C)(C)OC(=O)CN(Cc1ccc(Cl)cc1)Cc1ccc([N+](=O)[O-])s1,IC50,,,,Not Active,CHEMBL1961798,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961796,CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,670.0,nM,6.17,Agonist,CHEMBL1961798,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961796,CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,670.0,nM,6.17,Agonist,CHEMBL1961798,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961796,CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,670.0,nM,6.17,Agonist,CHEMBL1961798,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961796,CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,670.0,nM,6.17,Agonist,CHEMBL1961798,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961797,CCCCCNC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,790.0,nM,6.1,Agonist,CHEMBL1961798,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961797,CCCCCNC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,790.0,nM,6.1,Agonist,CHEMBL1961798,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961796,CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,710.0,nM,6.15,Agonist,CHEMBL1961800,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961796,CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,710.0,nM,6.15,Agonist,CHEMBL1961800,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
CHEMBL1961796,CCOC(=O)N1CCC(CN(Cc2ccc(Cl)cc2)Cc2ccc([N+](=O)[O-])s2)C1,IC50,710.0,nM,6.15,Agonist,CHEMBL1961800,8,CHEMBL1961783,CHEMBL1961794,8d8i,P20393
