molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL100643,CC(C)CC(NC(=O)[C@@H](CCC(=O)O)Oc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,587.0,nM,6.23,,CHEMBL657314,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL3142757,CC(C)C[C@H](NC(=O)C(C)Nc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,7240.0,nM,5.14,,CHEMBL657314,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL328155,CC(C)C(NC(=O)COc1cc2ccccc2cc1C(=O)O)C(=O)N[C@H]1CC(=O)OC1O,IC50,17000.0,nM,4.77,,CHEMBL657314,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL323322,CC(C)C(NC(=O)CNc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,6140.0,nM,5.21,,CHEMBL657314,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL319251,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O,IC50,21900.0,nM,4.66,,CHEMBL657315,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL319251,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O,IC50,21900.0,nM,4.66,,CHEMBL657315,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL100559,CC(C)C(NC(=O)COc1cccc2c(NS(=O)(=O)C(F)(F)F)cccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,11000.0,nM,4.96,,CHEMBL657314,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL317246,CC(C)C(NC(=O)CCOc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,37030.0,nM,4.43,,CHEMBL657314,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL323570,CC(C)C(NC(=O)COc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,2100.0,nM,5.68,,CHEMBL657314,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL100933,CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O,IC50,6810.0,nM,5.17,,CHEMBL657315,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
CHEMBL100933,CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O,IC50,6810.0,nM,5.17,,CHEMBL657315,8,CHEMBL3468,CHEMBL1134915,8dgz,P55210
