molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,6.42,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL112564,CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N,IC50,6920.0,nM,5.16,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL321421,CCN(CC)Cc1c(C(=O)N/N=C/c2ccncc2)nnn1-c1nonc1N,IC50,410.0,nM,6.39,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,6.8,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL114582,CC(C)CNCc1c(C(=O)NCc2ccncc2)nnn1-c1nonc1N,IC50,250000.0,nM,,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL115875,NNC(=O)c1nnn(-c2nonc2N)c1CN1CCCCC1,IC50,9600.0,nM,5.02,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL113447,CN(CCc1ccncc1)C(=O)c1nnn(-c2nonc2N)c1CN1CCCCC1,IC50,250000.0,nM,,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL325353,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCCC1,IC50,100.0,nM,7.0,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
CHEMBL325353,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCCC1,IC50,100.0,nM,7.0,,CHEMBL686321,8,CHEMBL262,CHEMBL1145856,8dje,P49841
