molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL109981,COc1ccccc1C1=C(c2cn(CCCNC(=O)OC(C)(C)C)c3ncccc23)C(=O)NC1=O,IC50,570.0,nM,6.24,,CHEMBL762188,9,CHEMBL2534,CHEMBL1146654,8dqt,O15530
CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,IC50,20000.0,nM,,,CHEMBL769456,8,CHEMBL2534,CHEMBL1135889,8dqt,O15530
CHEMBL533849,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,IC50,20000.0,nM,,,CHEMBL769457,8,CHEMBL2534,CHEMBL1135889,8dqt,O15530
CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,IC50,10000.0,nM,,,CHEMBL758786,8,CHEMBL2534,CHEMBL1148336,8dqt,O15530
CHEMBL281957,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,IC50,1000.0,nM,,,CHEMBL767854,8,CHEMBL2534,CHEMBL1136753,8dqt,O15530
CHEMBL1788116,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,IC50,10000.0,nM,,,CHEMBL828512,8,CHEMBL2534,CHEMBL1140315,8dqt,O15530
CHEMBL373101,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCN(C)CC5)cn4)sc23)c(Cl)cc1Cl,IC50,10.0,nM,,,CHEMBL884484,9,CHEMBL2534,CHEMBL1140394,8dqt,O15530
CHEMBL213423,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,IC50,10000.0,nM,,,CHEMBL869143,8,CHEMBL2534,CHEMBL1145312,8dqt,O15530
CHEMBL213451,CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,IC50,10000.0,nM,,,CHEMBL869143,8,CHEMBL2534,CHEMBL1145312,8dqt,O15530
CHEMBL212382,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12,IC50,10000.0,nM,,,CHEMBL869143,8,CHEMBL2534,CHEMBL1145312,8dqt,O15530
