molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL486422,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,IC50,40.0,nM,7.4,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL486422,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,IC50,40.0,nM,7.4,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL486422,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,IC50,40.0,nM,7.4,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL112007,O=C(O)CCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,IC50,9.0,nM,8.05,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL112007,O=C(O)CCCCCCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,IC50,9.0,nM,8.05,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL113617,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCBr)ccc12,IC50,270.0,nM,6.57,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL113617,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCCBr)ccc12,IC50,270.0,nM,6.57,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL115314,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCBr)ccc12,IC50,260.0,nM,6.58,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL115314,O=c1c(-c2ccc(O)cc2)coc2cc(OCCCBr)ccc12,IC50,260.0,nM,6.58,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
CHEMBL112165,C=CCOc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,IC50,800.0,nM,6.1,,CHEMBL641008,8,CHEMBL1935,CHEMBL1133504,8dr9,P05091
